,Timeline,Identity,Value,Role,Title
0,1,Suhua,21,Protagonist,Diary of Nurse
1,1,Haoru,9,Rival,Diary of Nurse
2,1,Changping,8,Love,Diary of Nurse
3,2,Haoru,43,Rival,Diary of Nurse
4,2,Suhua,37,Protagonist,Diary of Nurse
5,2,Changping,11,Love,Diary of Nurse
6,3,Suhua,77,Protagonist,Diary of Nurse
7,3,Haoru,6,Rival,Diary of Nurse
8,3,Changping,0,Love,Diary of Nurse
9,4,Suhua,43,Protagonist,Diary of Nurse
10,4,Changping,40,Love,Diary of Nurse
11,4,Haoru,5,Rival,Diary of Nurse
12,5,Changping,12,Love,Diary of Nurse
13,5,Suhua,28,Protagonist,Diary of Nurse
14,5,Haoru,2,Rival,Diary of Nurse
15,6,Suhua,58,Protagonist,Diary of Nurse
16,6,Changping,4,Love,Diary of Nurse
17,6,Haoru,1,Rival,Diary of Nurse
18,7,Suhua,45,Protagonist,Diary of Nurse
19,7,Changping,9,Love,Diary of Nurse
20,7,Haoru,16,Rival,Diary of Nurse
21,8,Haoru,47,Rival,Diary of Nurse
22,8,Suhua,65,Protagonist,Diary of Nurse
23,8,Changping,0,Love,Diary of Nurse
24,9,Suhua,60,Protagonist,Diary of Nurse
25,9,Changping,15,Love,Diary of Nurse
26,9,Haoru,5,Rival,Diary of Nurse
