,Timeline,Identity,Value,Role,Title
0,1,Kesa,6,Love,Jigoku Mon
1,1,Moritoo,13,Protagonist,Jigoku Mon
2,1,Jeff,40,Protagonist,Human Desire
3,1,Carl,8,Rival,Human Desire
4,1,Zhanwu,20,Protagonist,Our Village
5,1,Keming,16,Rival,Our Village
6,1,Shuzhen,4,Love,Our Village
7,1,Fan,45,Love,Cliff
8,1,Fang,47,Protagonist,Cliff
9,1,Jin,12,Protagonist,Waves of Life
10,1,Ye,9,Love,Waves of Life
11,1,Bo,15,Rival,Waves of Life
12,1,Suhua,21,Protagonist,Diary of Nurse
13,1,Haoru,9,Rival,Diary of Nurse
14,1,Changping,8,Love,Diary of Nurse
15,1,Pearl,47,Protagonist,Duel in the Sun
16,1,Jesse,1,Rival,Duel in the Sun
17,1,Will,24,Protagonist,The Man from Laramie
18,1,Barbara,16,Love,The Man from Laramie
19,1,Nishida,16,Protagonist,Black River
20,1,Hitokiri,10,Rival,Black River
21,1,Shizuko,2,Love,Black River
22,1,Alicia,119,Protagonist,Notorious
23,1,Devlin,58,Love,Notorious
24,1,Curly,68,Protagonist,Oklahoma
25,1,Laurey,64,Love,Oklahoma
26,1,Jud,2,Rival,Oklahoma
27,1,Natsuhisa,37,Rival,Kurutta Kajitsu
28,1,Haruji,50,Protagonist,Kurutta Kajitsu
29,1,Eri,2,Love,Kurutta Kajitsu
30,1,Mohei,3,Protagonist,Chikamatsu Story
31,1,Osan,13,Love,Chikamatsu Story
32,1,Ishun,20,Rival,Chikamatsu Story
33,1,Johnny,101,Protagonist,Gilda
34,1,Ballin,13,Rival,Gilda
35,1,Morgana,7,Love,Vikings
36,1,Einar,1,Rival,Vikings
37,1,Sabrina,48,Protagonist,Sabrina
38,1,David,6,Rival,Sabrina
39,1,Linus,5,Love,Sabrina
40,1,Wataru,0,Rival,Jigoku Mon
41,1,Vicki,0,Love,Human Desire
42,1,Professor,0,Rival,Cliff
43,1,Lewt,0,Love,Duel in the Sun
44,1,Vic,0,Rival,The Man from Laramie
45,1,Alex,0,Rival,Notorious
46,1,Gilda,0,Love,Gilda
47,1,Eric,0,Protagonist,Vikings
48,2,Kesa,4,Love,Jigoku Mon
49,2,Moritoo,17,Protagonist,Jigoku Mon
50,2,Wataru,7,Rival,Jigoku Mon
51,2,Jeff,21,Protagonist,Human Desire
52,2,Vicki,42,Love,Human Desire
53,2,Carl,51,Rival,Human Desire
54,2,Shuzhen,29,Love,Our Village
55,2,Zhanwu,41,Protagonist,Our Village
56,2,Keming,7,Rival,Our Village
57,2,Fan,64,Love,Cliff
58,2,Fang,39,Protagonist,Cliff
59,2,Professor,26,Rival,Cliff
60,2,Ye,32,Love,Waves of Life
61,2,Jin,24,Protagonist,Waves of Life
62,2,Bo,12,Rival,Waves of Life
63,2,Haoru,43,Rival,Diary of Nurse
64,2,Suhua,37,Protagonist,Diary of Nurse
65,2,Changping,11,Love,Diary of Nurse
66,2,Pearl,114,Protagonist,Duel in the Sun
67,2,Jesse,27,Rival,Duel in the Sun
68,2,Lewt,34,Love,Duel in the Sun
69,2,Barbara,17,Love,The Man from Laramie
70,2,Will,28,Protagonist,The Man from Laramie
71,2,Nishida,5,Protagonist,Black River
72,2,Hitokiri,2,Rival,Black River
73,2,Alicia,137,Protagonist,Notorious
74,2,Devlin,87,Love,Notorious
75,2,Curly,3,Protagonist,Oklahoma
76,2,Jud,2,Rival,Oklahoma
77,2,Laurey,20,Love,Oklahoma
78,2,Haruji,18,Protagonist,Kurutta Kajitsu
79,2,Natsuhisa,21,Rival,Kurutta Kajitsu
80,2,Eri,13,Love,Kurutta Kajitsu
81,2,Ishun,17,Rival,Chikamatsu Story
82,2,Osan,2,Love,Chikamatsu Story
83,2,Mohei,45,Protagonist,Chikamatsu Story
84,2,Johnny,79,Protagonist,Gilda
85,2,Ballin,26,Rival,Gilda
86,2,Gilda,36,Love,Gilda
87,2,Einar,31,Rival,Vikings
88,2,Eric,11,Protagonist,Vikings
89,2,Sabrina,44,Protagonist,Sabrina
90,2,Linus,41,Love,Sabrina
91,2,Vic,0,Rival,The Man from Laramie
92,2,Shizuko,0,Love,Black River
93,2,Alex,0,Rival,Notorious
94,2,Morgana,0,Love,Vikings
95,2,David,0,Rival,Sabrina
96,3,Moritoo,26,Protagonist,Jigoku Mon
97,3,Kesa,7,Love,Jigoku Mon
98,3,Wataru,1,Rival,Jigoku Mon
99,3,Carl,48,Rival,Human Desire
100,3,Vicki,32,Love,Human Desire
101,3,Jeff,1,Protagonist,Human Desire
102,3,Keming,7,Rival,Our Village
103,3,Shuzhen,29,Love,Our Village
104,3,Zhanwu,29,Protagonist,Our Village
105,3,Professor,30,Rival,Cliff
106,3,Fang,23,Protagonist,Cliff
107,3,Fan,11,Love,Cliff
108,3,Jin,54,Protagonist,Waves of Life
