,Timeline,Identity,Value,Role,Title
0,1,Kesa,0.001506149592135982,Love,Jigoku Mon
1,1,Moritoo,0.0035621903321100172,Protagonist,Jigoku Mon
2,1,Jeff,0.0014784661956880718,Protagonist,Human Desire
3,1,Carl,0.002175388448375049,Rival,Human Desire
4,1,Zhanwu,0.0017867123304615164,Protagonist,Our Village
5,1,Keming,0.002151651914561246,Rival,Our Village
6,1,Shuzhen,0.0015221112153477462,Love,Our Village
7,1,Fan Jun,0.003782393439048527,Love,Cliff
8,1,Fang Qing,0.0050093093339110975,Protagonist,Cliff
9,1,Jin Zhang,0.001802838041721987,Protagonist,Waves of Life
10,1,Ye Suping,0.001772073840756747,Love,Waves of Life
11,1,Bo Kang,0.0016299915194165982,Rival,Waves of Life
12,1,Suhua,0.0027685207140262713,Protagonist,Diary of Nurse
13,1,Haoru,0.0010463107376132152,Rival,Diary of Nurse
14,1,Changping,0.0021313813606917975,Love,Diary of Nurse
15,1,Pearl,0.0030313520847298527,Protagonist,Duel in the Sun
16,1,Jesse,0.0038574056589080197,Rival,Duel in the Sun
17,1,Will,0.0015428183823309807,Protagonist,The Man from Laramie
18,1,Barbara,0.0012843506987078386,Love,The Man from Laramie
19,1,Nishida,0.003501713691528764,Protagonist,Black River
20,1,Hitokiri Joe,0.0017792248878885648,Rival,Black River
21,1,Shizuko,0.003337025077192232,Love,Black River
22,1,Alicia,0.0033327068957561697,Protagonist,Notorious
23,1,Devlin,0.0030421102209916132,Love,Notorious
24,1,Curly,0.0017754296093085338,Protagonist,Oklahoma
25,1,Laurey,0.00169119757690845,Love,Oklahoma
26,1,Jud,0.0014659925247219596,Rival,Oklahoma
27,1,Natsuhisa,0.008978939491954628,Rival,Kurutta Kajitsu
28,1,Haruji,0.007373674461335117,Protagonist,Kurutta Kajitsu
29,1,Eri,0.0014873803408653949,Love,Kurutta Kajitsu
30,1,Mohei,0.0017592149570047945,Protagonist,Chikamatsu Story
31,1,Osan,0.0019467448590282594,Love,Chikamatsu Story
32,1,Ishun,0.0008088562860181015,Rival,Chikamatsu Story
33,1,Johnny,0.002894146392388643,Protagonist,Gilda
34,1,Ballin,0.0017165410942042323,Rival,Gilda
35,1,Morgana,0.002060396386376765,Love,Vikings
36,1,Einar,0.0010008433201034311,Rival,Vikings
37,1,Sabrina,0.0037524249596057983,Protagonist,Sabrina
38,1,David,0.0018203107820549448,Rival,Sabrina
39,1,Linus,0.002582969137535143,Love,Sabrina
40,2,Kesa,0.0030453239888205696,Love,Jigoku Mon
41,2,Moritoo,0.0020075715969149555,Protagonist,Jigoku Mon
42,2,Wataru,0.0027534925101688735,Rival,Jigoku Mon
43,2,Jeff,0.00154628165397452,Protagonist,Human Desire
44,2,Vicki,0.001948832848925415,Love,Human Desire
45,2,Carl,0.0020626405060525867,Rival,Human Desire
46,2,Shuzhen,0.005424945898088516,Love,Our Village
47,2,Zhanwu,0.0032852308740280865,Protagonist,Our Village
48,2,Keming,0.003209216754450369,Rival,Our Village
49,2,Fan Jun,0.004060670139355117,Love,Cliff
50,2,Fang Qing,0.005650080491765993,Protagonist,Cliff
51,2,Professor Yuan,0.002451490196430617,Rival,Cliff
52,2,Ye Suping,0.002438904959244197,Love,Waves of Life
53,2,Jin Zhang,0.0013878344208277155,Protagonist,Waves of Life
54,2,Bo Kang,0.0028675514523347797,Rival,Waves of Life
55,2,Haoru,0.0013943341954775206,Rival,Diary of Nurse
56,2,Suhua,0.002255524324484127,Protagonist,Diary of Nurse
57,2,Changping,0.0016944127033102175,Love,Diary of Nurse
58,2,Pearl,0.0031811042677787685,Protagonist,Duel in the Sun
59,2,Jesse,0.002344249609962012,Rival,Duel in the Sun
60,2,Lewt,0.0016602085550287964,Love,Duel in the Sun
61,2,Barbara,0.0018586965726163334,Love,The Man from Laramie
62,2,Will,0.002381550794964059,Protagonist,The Man from Laramie
63,2,Nishida,0.003971859753271875,Protagonist,Black River
64,2,Hitokiri Joe,0.0009356109753695455,Rival,Black River
65,2,Alicia,0.005118194999193429,Protagonist,Notorious
66,2,Devlin,0.0038033423761227357,Love,Notorious
67,2,Curly,0.0007935975446083839,Protagonist,Oklahoma
68,2,Jud,0.0013810407680945186,Rival,Oklahoma
69,2,Laurey,0.0014308460529676484,Love,Oklahoma
70,2,Haruji,0.001754878237955504,Protagonist,Kurutta Kajitsu
71,2,Natsuhisa,0.001554696988552228,Rival,Kurutta Kajitsu
72,2,Eri,0.0018259291638113605,Love,Kurutta Kajitsu
73,2,Ishun,0.0008239911223105049,Rival,Chikamatsu Story
74,2,Osan,0.0006010088925686614,Love,Chikamatsu Story
75,2,Mohei,0.0009431084980492256,Protagonist,Chikamatsu Story
76,2,Johnny,0.0021808093109135064,Protagonist,Gilda
77,2,Ballin,0.0014721636079567822,Rival,Gilda
78,2,Gilda,0.003114733006579758,Love,Gilda
79,2,Einar,0.0027674522946735947,Rival,Vikings
80,2,Eric,0.0011978296132010959,Protagonist,Vikings
81,2,Sabrina,0.0029519908316563304,Protagonist,Sabrina
82,2,Linus,0.001587912120414954,Love,Sabrina
83,3,Moritoo,0.0023710620769997175,Protagonist,Jigoku Mon
84,3,Kesa,0.004584933999483208,Love,Jigoku Mon
85,3,Wataru,0.0018690277581108472,Rival,Jigoku Mon
86,3,Carl,0.0026639604007320673,Rival,Human Desire
87,3,Vicki,0.0026126219760513386,Love,Human Desire
88,3,Jeff,0.0009443647096029073,Protagonist,Human Desire
89,3,Keming,0.0022873957850570318,Rival,Our Village
90,3,Shuzhen,0.002070516705104768,Love,Our Village
91,3,Zhanwu,0.004038390600892782,Protagonist,Our Village
92,3,Professor Yuan,0.0020516724700595504,Rival,Cliff
93,3,Fang Qing,0.003937065650456189,Protagonist,Cliff
94,3,Fan Jun,0.0014624404896716565,Love,Cliff
95,3,Jin Zhang,0.0015299225016710144,Protagonist,Waves of Life
96,3,Bo Kang,0.0016583063346374027,Rival,Waves of Life
97,3,Ye Suping,0.00183431269207206,Love,Waves of Life
98,3,Suhua,0.002191609120528555,Protagonist,Diary of Nurse
99,3,Haoru,0.0023704793204636205,Rival,Diary of Nurse
100,3,Pearl,0.0033988538536086103,Protagonist,Duel in the Sun
101,3,Lewt,0.002756032744783171,Love,Duel in the Sun
102,3,Jesse,0.0016669182715547417,Rival,Duel in the Sun
103,3,Will,0.0018556330921447712,Protagonist,The Man from Laramie
104,3,Barbara,0.0021292802263677066,Love,The Man from Laramie
105,3,Vic,0.0020410893236400642,Rival,The Man from Laramie
106,3,Hitokiri Joe,0.0030247883154484252,Rival,Black River
107,3,Shizuko,0.005751450676210723,Love,Black River
108,3,Nishida,0.0026002662562594203,Protagonist,Black River
109,3,Alicia,0.004470330367049201,Protagonist,Notorious
110,3,Devlin,0.0045450222341775,Love,Notorious
111,3,Laurey,0.001364752884690093,Love,Oklahoma
112,3,Haruji,0.003079635808810847,Protagonist,Kurutta Kajitsu
113,3,Eri,0.002270119952175084,Love,Kurutta Kajitsu
114,3,Natsuhisa,0.002415480221113456,Rival,Kurutta Kajitsu
115,3,Mohei,0.0020081587389293347,Protagonist,Chikamatsu Story
