"Frame","Face Box","Confidence","Face Rotation","Path","Cluster","Position","T-SNE(FN512)"
Preserved,Preserved,Preserved,Preserved,Preserved,Preserved,Point,Point
"100","[0.4145840108394623\， 0.5743768811225891\， 0.17797768115997314\， 0.23730356991291046]","1.0","[0.0\， 0.0\， 0.0]","faces/f100-0.json","Nishida","(30.978646002709795\， 53.71216925491588)","(-47.429325103759766\， 15.902469635009766)"
"1000","[0.6543015241622925\， 0.7375461459159851\， 0.12562628090381622\， 0.16750170290470123]","1.0","[0.0\， -1.5707963705062866\， 0.0]","faces/f1000-1.json","N/A","(-309.96142461896363\， -536.8763638098706)","(3.9488942623138428\， -35.615264892578125)"
"1004","[0.3883325457572937\， 0.706389307975769\， 0.12039264291524887\， 0.16052351891994476]","1.0","[0.0\， 0.7853981852531433\， 0.0]","faces/f1004-0.json","N/A","(311.21208313645354\， -539.0318960207352)","(6.011857986450195\， 15.467763900756836)"
"1004","[0.23589377105236053\， 0.6421873569488525\， 0.1126137226819992\， 0.15015164017677307]","1.0","[0.0\， 0.0\， 0.0]","faces/f1004-1.json","Paa's Mom","(311.1739734427773\， -539.0479465084919)","(-11.340193748474121\， 33.310142517089844)"
"1004","[0.3143140375614166\， 0.2675359845161438\， 0.1432894617319107\， 0.1910526156425476]","1.0","[0.0\， 0.0\， 0.0]","faces/f1004-2.json","N/A","(311.1935785094046\， -539.1416093516001)","(2.9959585666656494\， 16.418807983398438)"
"1004","[0.7870147228240967\， 0.7033283710479736\， 0.11214182525873184\， 0.14952243864536285]","1.0","[0.0\， 0.0\， 0.0]","faces/f1004-3.json","Kurihara's Wife","(311.31175368072024\， -539.0326612549671)","(33.8781852722168\， 27.209060668945312)"
"1004","[0.5929134488105774\， 0.6997798681259155\， 0.10169582068920135\， 0.1355944275856018]","1.0","[0.0\， 0.0\， 0.0]","faces/f1004-4.json","N/A","(311.26322836221686\， -539.0335483806977)","(-11.42922306060791\， -12.916049003601074)"
"1005","[0.3240378499031067\， 0.31335175037384033\， 0.26177340745925903\， 0.3490311801433563]","1.0","[0.0\， -0.7853981852531433\， -1.5707963705062866]","faces/f1005-0.json","N/A","(440.5542448198039\， -440.644897419754)","(7.833657264709473\， -10.7886962890625)"
"1006","[0.147018700838089\， 0.3935401141643524\， 0.1136438399553299\， 0.1515251100063324]","1.0","[0.0\， -0.7853981852531433\， 0.0]","faces/f1006-0.json","N/A","(540.0691195236355\， -311.88661497146603)","(4.1173505783081055\， -7.966081142425537)"
"1006","[0.6769618988037109\， 0.5265791416168213\， 0.1886930912733078\， 0.2515907883644104]","1.0","[0.0\， -0.7853981852531433\， 0.0]","faces/f1006-1.json","N/A","(540.201605323127\， -311.8533552146029)","(1.4136033058166504\， 16.900672912597656)"
"1007","[0.3230205178260803\， 0.09984434396028519\， 0.41187864542007446\， 0.549171507358551]","1.0","[0.0\， 0.0\， 0.0]","faces/f1007-0.json","Kurihara's Wife","(603.0218855147727\， -161.69112153332054)","(38.86285400390625\， 24.004457473754883)"
"1008","[0.5940965414047241\， 0.2700969874858856\， 0.14632850885391235\， 0.1951046735048294]","1.0","[0.0\， -0.7853981852531433\， 0.0]","faces/f1008-0.json","Yasuko","(624.9835241353512\， -0.05747575312607636)","(-4.227454662322998\， -23.70180320739746)"
"1008","[0.1302492618560791\， 0.6707577109336853\， 0.13899999856948853\， 0.18533332645893097]","1.0","[0.0\， -0.7853981852531433\， 0.0]","faces/f1008-1.json","N/A","(624.867562315464\， 0.04268942773587356)","(-13.165019989013672\， -15.206001281738281)"
"1008","[0.2894020676612854\， 0.6301618218421936\， 0.14306819438934326\， 0.19075758755207062]","1.0","[0.0\， -0.7853981852531433\， 0.0]","faces/f1008-2.json","Kurihara's Wife","(624.9073505169154\， 0.032540455463000634)","(33.61098098754883\， 28.451324462890625)"
"1009","[0.15193495154380798\， 0.330326646566391\， 0.12910276651382446\， 0.17213702201843262]","1.0","[0.0\， 0.7853981852531433\， 2.6179940700531006]","faces/f1009-0.json","N/A","(604.1768621477993\， 161.8695998968841)","(-14.387796401977539\， -6.354543209075928)"
"1009","[0.3555116057395935\， 0.38862305879592896\， 0.11667068302631378\， 0.1555609107017517]","1.0","[0.0\， 0.0\， 0.0]","faces/f1009-1.json","Kurihara's Wife","(604.2277563113482\， 161.88417399994148)","(35.87917709350586\， 25.13039779663086)"
"1009","[0.6380817294120789\， 0.5103017687797546\， 0.13282868266105652\， 0.1771049201488495]","1.0","[0.0\， -0.7853981852531433\， 0.5235987901687622]","faces/f1009-2.json","N/A","(604.2983988422664\， 161.91459367743744)","(0.8870089054107666\， -14.792465209960938)"
"101","[0.4023211896419525\， 0.5535624027252197\， 0.17848855257034302\， 0.23798473179340363]","1.0","[0.0\， 0.0\， 0.0]","faces/f101-0.json","Nishida","(16.18282890173038\， 60.49966584290274)","(-46.876346588134766\， 16.160316467285156)"
"1010","[0.36678117513656616\， 0.38678136467933655\， 0.1153663843870163\， 0.15382185578346252]","1.0","[0.0\， 0.0\， 0.0]","faces/f1010-0.json","Kurihara's Wife","(542.2718031436109\， 313.0716953411505)","(35.980377197265625\， 25.055477142333984)"
"1010","[0.637452244758606\， 0.5186780095100403\， 0.1323237121105194\， 0.17643161118030548]","1.0","[0.0\， -0.7853981852531433\， 0.5235987901687622]","faces/f1010-1.json","N/A","(542.3394709110164\， 313.10466950235815)","(0.8826439380645752\， -14.79184341430664)"
