"Frame","Face Box","Confidence","Face Rotation","Path","Cluster","Position","T-SNE(FN512)"
Preserved,Preserved,Preserved,Preserved,Preserved,Preserved,Point,Point
"100","[0.21665653586387634\， 0.6004456877708435\， 0.08369401097297668\， 0.11451021581888199]","1.0","[0.0\， 0.0\， 0.0]","faces/f100-0.json","N/A","(30.96364689258659\， 53.778412346494115)","(4.52133846282959\， -3.4459657669067383)"
"100","[0.5854232907295227\， 0.5558398962020874\， 0.14980962872505188\， 0.20496965944766998]","1.0","[0.0\， 0.0\， -0.5235987901687622]","faces/f100-1.json","Mohei","(31.055838581303\， 53.767260898601926)","(0.3859224021434784\， -30.880718231201172)"
"1004","[0.34082016348838806\， 0.6454249024391174\， 0.08129420876502991\， 0.11122680455446243]","1.0","[0.0\， -1.5707963705062866\， 0.5235987901687622]","faces/f1004-0.json","N/A","(311.5464119374381\， -539.6467850568777)","(-10.615904808044434\， -16.621431350708008)"
"1005","[0.3763352930545807\， 0.6546798348426819\， 0.07791709154844284\， 0.10660623013973236]","1.0","[0.0\， -1.5707963705062866\， 0.0]","faces/f1005-0.json","N/A","(441.0574173289314\， -441.04966354697643)","(-8.684956550598145\， -16.31399154663086)"
"1005","[0.6464064717292786\， 0.6794966459274292\， 0.09645431488752365\， 0.13196887075901031]","1.0","[0.0\， -1.5707963705062866\， 0.5235987901687622]","faces/f1005-1.json","N/A","(441.1249351236001\， -441.04345934420525)","(10.120182991027832\， -14.889117240905762)"
"1006","[0.3832448720932007\， 0.656363308429718\， 0.07505762577056885\， 0.10269390791654587]","1.0","[0.0\， -0.7853981852531433\， 0.0]","faces/f1006-0.json","N/A","(540.7290185190059\， -312.16780572462386)","(-9.184508323669434\， -16.621780395507812)"
"1007","[0.3859371244907379\， 0.6516004800796509\， 0.07501620799303055\， 0.10263723880052567]","1.0","[0.0\， -0.7853981852531433\， 0.5235987901687622]","faces/f1007-0.json","N/A","(603.708433498903\， -161.73292786371707)","(-8.810970306396484\， -16.492748260498047)"
"1009","[0.39199671149253845\， 0.6584661602973938\， 0.07876215875148773\， 0.10776245594024658]","1.0","[0.0\， -1.5707963705062866\， 0.0]","faces/f1009-0.json","N/A","(604.9090287317352\， 162.13173713152958)","(-9.967607498168945\， -16.389249801635742)"
"101","[0.5530305504798889\， 0.5084367990493774\， 0.14610256254673004\， 0.1998976618051529]","1.0","[0.0\， -0.7853981852531433\， 0.0]","faces/f101-0.json","Mohei","(16.238534327150457\， 60.555666171952886)","(0.4410921037197113\， -31.01255226135254)"
"101","[0.3064710199832916\， 0.5750465393066406\， 0.07878474146127701\， 0.10779335349798203]","1.0","[0.0\， 0.7853981852531433\， 0.0]","faces/f101-1.json","N/A","(16.176894444526308\， 60.5723186070172)","(5.418768882751465\， -2.403174638748169)"
"1010","[0.3936326205730438\， 0.6528521180152893\， 0.07670320570468903\， 0.10494538396596909]","1.0","[0.0\， -1.5707963705062866\， 0.0]","faces/f1010-0.json","N/A","(542.8817474931233\， 313.48648889155334)","(-11.048864364624023\， 14.286940574645996)"
"1011","[0.3987455368041992\， 0.668973445892334\， 0.08188094943761826\， 0.11202958226203918]","1.0","[0.0\， -1.5707963705062866\， 0.0]","faces/f1011-0.json","N/A","(443.69638307499906\， 443.763940052247)","(-21.3482666015625\， -6.9159932136535645)"
"1014","[0.36196771264076233\， 0.64996337890625\， 0.0862017348408699\， 0.11794128268957138]","1.0","[0.0\， -1.5707963705062866\， 0.0]","faces/f1014-0.json","N/A","(-0.03450807183888645\， 629.4168011895541)","(-11.669713973999023\， 15.47972583770752)"
"1016","[0.32769694924354553\， 0.7015862464904785\， 0.09349507093429565\， 0.1279200315475464]","1.0","[0.0\， 0.0\， 0.0]","faces/f1016-0.json","Mohei","(-315.35342059028386\， 546.1839339550596)","(1.8416035175323486\， -22.315011978149414)"
"1017","[0.41506168246269226\， 0.6954074501991272\， 0.0891234278678894\， 0.12193874269723892]","1.0","[0.0\， 0.0\， 0.0]","faces/f1017-0.json","Mohei","(-446.37629445526426\， 446.4039117384588)","(2.000994920730591\， -22.19745635986328)"
"1018","[0.34065303206443787\， 0.6791744828224182\， 0.0904662162065506\， 0.12377595156431198]","1.0","[0.0\， 0.0\， 0.0]","faces/f1018-0.json","Mohei","(-547.2484401539092\， 315.97582810347734)","(1.8842346668243408\， -22.39224624633789)"
"102","[0.208967924118042\， 0.603232204914093\， 0.08436387032270432\， 0.11542671173810959]","1.0","[0.0\， 0.0\， 0.0]","faces/f102-0.json","N/A","(-0.07275801897031114\， 63.33615287881473)","(4.146183490753174\， -3.588474988937378)"
