"Frame","Face Box","Confidence","Face Rotation","Path","Cluster","Position","T-SNE(FN512)"
Preserved,Preserved,Preserved,Preserved,Preserved,Preserved,Point,Point
"100","[0.1767539083957672\， 0.35517850518226624\， 0.23612885177135468\， 0.29516106843948364]","1.0","[0.0\， 0.0\， 0.0]","faces/f100-0.json","Fan Jun","(30.91918847709887\， 53.6573696609308)","(28.092849731445312\， -10.533783912658691)"
"1002","[0.2652691900730133\， 0.6393936276435852\， 0.11724502593278885\， 0.1465562880039215]","1.0","[0.0\， 0.0\， 0.0]","faces/f1002-0.json","Professor Yuan","(-0.05868270247596037\， -621.2051515930891)","(45.644752502441406\， 5.39489221572876)"
"1002","[0.5352963209152222\， 0.5576890707015991\， 0.11251125484704971\， 0.140639066696167]","1.0","[0.0\， -0.7853981852531433\， 0.5235987901687622]","faces/f1002-1.json","N/A","(0.008824080234591858\， -621.2255777323246)","(16.923885345458984\， 0.5667358636856079)"
"1003","[0.3518371880054474\， 0.6914669275283813\， 0.12848500907421112\， 0.1606062650680542]","1.0","[0.0\， 0.7853981852531433\， 0.0]","faces/f1003-0.json","Professor Yuan","(160.91217068443154\， -600.6227676042442)","(43.605411529541016\， 18.454622268676758)"
"1004","[0.337924599647522\， 0.6584109663963318\， 0.1296914517879486\， 0.16211432218551636]","1.0","[0.0\， 0.0\， 0.0]","faces/f1004-0.json","Professor Yuan","(311.1994811499261\， -539.04389060613)","(44.756858825683594\， 4.519074440002441)"
"1005","[0.35399186611175537\， 0.6769137978553772\， 0.13437217473983765\， 0.16796521842479706]","1.0","[0.0\， 0.7853981852531433\， 0.0]","faces/f1005-0.json","Professor Yuan","(440.56173332385606\， -440.5540069078836)","(37.771240234375\， 11.6375150680542)"
"1006","[0.5893850326538086\， 0.6538529396057129\， 0.13514892756938934\， 0.16893616318702698]","1.0","[0.0\， -1.5707963705062866\， 0.0]","faces/f1006-0.json","N/A","(540.1797111065895\， -311.8215367651057)","(-29.968223571777344\， 14.35732650756836)"
"1006","[0.35772764682769775\， 0.6821982860565186\， 0.13438239693641663\， 0.16797798871994019]","1.0","[0.0\， 0.7853981852531433\， 0.0]","faces/f1006-1.json","Professor Yuan","(540.121796760133\， -311.814450428493)","(31.50612449645996\， 4.583024978637695)"
"1007","[0.3579212725162506\， 0.6801057457923889\， 0.13335038721561432\， 0.1666879951953888]","1.0","[0.0\， 0.7853981852531433\， 0.0]","faces/f1007-0.json","Professor Yuan","(603.0306107034453\， -161.54605618286251)","(32.0083122253418\， 5.032587051391602)"
"1007","[0.5607892274856567\， 0.6049535274505615\， 0.14104816317558289\， 0.1763102114200592]","1.0","[0.0\， -0.7853981852531433\， 0.0]","faces/f1007-1.json","Fang Qing","(603.0813276921876\， -161.56484423744797)","(-48.86804962158203\， -5.805386543273926)"
