"Frame","Face Box","Confidence","Face Rotation","Path","Cluster","Position","T-SNE(FN512)"
Preserved,Preserved,Preserved,Preserved,Preserved,Preserved,Point,Point
"1000","[0.17762215435504913\， 0.5666753649711609\， 0.10972773283720016\， 0.14573213458061218]","1.0","[0.0\， 0.7853981852531433\， 0.0]","faces/f1000-1.json","Xiaofang","(-312.58059446141544\， -541.2492085240289)","(-4.408296585083008\， 32.41722869873047)"
"1000","[0.7703311443328857\， 0.6176289319992065\， 0.125791996717453\， 0.1670674979686737]","1.0","[0.0\， 0.0\， 0.0]","faces/f1000-2.json","Suhua","(-312.432417213921\， -541.2364701322718)","(-27.661561965942383\， -20.00594139099121)"
"1001","[0.5410616993904114\， 0.6664484739303589\， 0.1023498997092247\， 0.13593345880508423]","1.0","[0.0\， 0.0\， 0.0]","faces/f1001-0.json","Changping","(-161.9133996674165\， -604.265732953616)","(15.797002792358398\， -27.98563575744629)"
"1004","[0.5356954336166382\， 0.6730848550796509\， 0.10728276520967484\， 0.14248493313789368]","1.0","[0.0\， 0.0\， 0.0]","faces/f1004-0.json","Changping","(313.7589238584185\， -543.387669660957)","(15.851799011230469\， -28.2108097076416)"
"1005","[0.3211245536804199\， 0.45647794008255005\， 0.25410863757133484\， 0.3374880254268646]","1.0","[0.0\， 0.0\， 0.0]","faces/f1005-0.json","N/A","(444.1067280712105\， -444.16232744778927)","(9.474974632263184\， -17.06201171875)"
"1006","[0.3743642568588257\， 0.48137959837913513\， 0.2526679039001465\， 0.33557456731796265]","1.0","[0.0\， 0.0\， 0.0]","faces/f1006-0.json","Haoru","(544.4820636936763\， -314.3796551004124)","(38.79080581665039\， -9.400301933288574)"
"1007","[0.3895983397960663\， 0.5628376007080078\， 0.20559164881706238\， 0.2730514109134674]","1.0","[0.0\， 0.7853981852531433\， 0.0]","faces/f1007-0.json","N/A","(607.9019665056306\， -162.87852711122483)","(7.444163799285889\， 3.824909210205078)"
"1008","[0.4381176829338074\， 0.6219582557678223\， 0.1784432828426361\， 0.23699498176574707]","1.0","[0.0\， 0.0\， 0.0]","faces/f1008-0.json","N/A","(629.9845294207335\， 0.03048956394442756)","(37.81780242919922\， -20.25446128845215)"
"1008","[0.7876505851745605\， 0.578468918800354\， 0.11430156975984573\， 0.1518067717552185]","1.0","[0.0\， 0.0\， 0.0]","faces/f1008-1.json","N/A","(630.0719126462936\， 0.019617229702560496)","(18.408411026000977\， 14.534157752990723)"
"1008","[0.11415732651948929\， 0.8224437832832336\， 0.1069689393043518\， 0.14206811785697937]","1.0","[0.0\， 0.0\， 0.0]","faces/f1008-2.json","N/A","(629.9035393316299\， 0.0806109458232804)","(-1.3798161745071411\， -15.003524780273438)"
"1009","[0.8523156046867371\， 0.36388325691223145\， 0.11071374267339706\， 0.1470416933298111]","1.0","[0.0\， 0.0\， 0.0]","faces/f1009-0.json","N/A","(609.2250531047133\， 163.18373113201284)","(20.724443435668945\， 19.5338134765625)"
