"Frame","Face Box","Confidence","Face Rotation","Path","Cluster","Position","T-SNE(FN512)"
Preserved,Preserved,Preserved,Preserved,Preserved,Preserved,Point,Point
"100","[0.3709160387516022\， 0.4865044057369232\， 0.21264658868312836\， 0.28352880477905273]","1.0","[0.0\， 0.0\， 0.0]","faces/f100-0.json","Scott","(30.945989879253045\， 53.65254785764405)","(-33.74402618408203\， 31.748470306396484)"
"1000","[0.17930860817432404\， 0.4930507242679596\， 0.1814679354429245\， 0.24195724725723267]","1.0","[0.0\， 0.7853981852531433\， 0.0]","faces/f1000-0.json","Laura","(-309.8627815436128\， -536.5609548810285)","(17.7277889251709\， -39.18770980834961)"
"1000","[0.6395835876464844\， 0.47528859972953796\， 0.2068587690591812\， 0.27581167221069336]","1.0","[0.0\， 0.0\， 0.0]","faces/f1000-1.json","Pearl","(-309.7477127987448\， -536.5653954121631)","(42.21052932739258\， 14.683307647705078)"
"1001","[0.6420831084251404\， 0.47188958525657654\， 0.20716296136379242\， 0.2762172818183899]","1.0","[0.0\， -0.7853981852531433\， 0.0]","faces/f1001-0.json","Pearl","(-160.4801124447903\， -599.0595261968965)","(57.162017822265625\， -3.3792877197265625)"
"1001","[0.1844833344221115\， 0.5367022752761841\， 0.180269256234169\， 0.24035900831222534]","1.0","[0.0\， 0.7853981852531433\， 0.0]","faces/f1001-1.json","Laura","(-160.59451238829107\， -599.0433230243916)","(18.660127639770508\， -37.25941848754883)"
"1002","[0.17948293685913086\， 0.566535234451294\， 0.18259592354297638\， 0.2434612214565277]","1.0","[0.0\， 0.7853981852531433\， 0.0]","faces/f1002-0.json","Laura","(-0.08012926577943504\， -620.7877140174741)","(15.070502281188965\， -37.460304260253906)"
"1002","[0.6394498348236084\， 0.4725581407546997\， 0.20205608010292053\， 0.26940810680389404]","1.0","[0.0\， -0.7853981852531433\， 0.0]","faces/f1002-1.json","Pearl","(0.034862458711684335\， -620.8112082908982)","(57.66816711425781\， -3.52754545211792)"
"1003","[0.18480812013149261\， 0.5384663343429565\， 0.18026261031627655\， 0.2403501570224762]","1.0","[0.0\， 0.7853981852531433\， 0.5235987901687622]","faces/f1003-0.json","Laura","(160.75754580779443\， -600.2397900987283)","(18.923080444335938\， -38.39717483520508)"
"1003","[0.6175600290298462\， 0.46054911613464355\， 0.21506305038928986\， 0.2867507338523865]","1.0","[0.0\， -0.7853981852531433\， 0.0]","faces/f1003-1.json","Pearl","(160.86573378501902\， -600.2592694032804)","(53.91865539550781\， -4.49550724029541)"
"1004","[0.19504518806934357\， 0.5546297430992126\， 0.17693783342838287\， 0.2359171062707901]","1.0","[0.0\， 0.7853981852531433\， 0.0]","faces/f1004-0.json","Laura","(310.9455004274663\， -538.6917969965632)","(19.81138038635254\， -38.24343490600586)"
"1004","[0.6403130292892456\， 0.4927986264228821\， 0.21019862592220306\， 0.28026482462882996]","1.0","[0.0\， -0.7853981852531433\， 0.0]","faces/f1004-1.json","Pearl","(311.0568173877713\， -538.7072547757323)","(32.57157897949219\， 5.1992268562316895)"
"1005","[0.6680868268013\， 0.4664037823677063\， 0.20482151210308075\， 0.27309533953666687]","1.0","[0.0\， -0.7853981852531433\， 0.0]","faces/f1005-0.json","Pearl","(440.331282144423\， -440.29765949215005)","(57.08688735961914\， -3.271437168121338)"
"1005","[0.19354842603206635\， 0.5487164855003357\， 0.17910772562026978\， 0.23881030082702637]","1.0","[0.0\， 0.7853981852531433\， 0.0]","faces/f1005-1.json","Laura","(440.2126475442307\， -440.2770813163669)","(19.44252586364746\， -37.51605224609375)"
"1006","[0.2154369354248047\， 0.5131550431251526\， 0.17982862889766693\， 0.2397715002298355]","1.0","[0.0\， 0.7853981852531433\， 0.0]","faces/f1006-0.json","Laura","(539.7074321013225\， -311.6380155870519)","(18.88022232055664\， -37.66160583496094)"
"1006","[0.6534707546234131\， 0.48404303193092346\， 0.2069021761417389\， 0.27586954832077026]","1.0","[0.0\， 0.0\， 0.0]","faces/f1006-1.json","Pearl","(539.8169405561222\， -311.64529358985044)","(42.82585144042969\， 15.176441192626953)"
"1007","[0.617921769618988\， 0.5007039904594421\， 0.2029227316379547\， 0.27056363224983215]","1.0","[0.0\， -0.7853981852531433\， 0.0]","faces/f1007-0.json","Pearl","(602.6727033029065\， -161.4775888919487)","(28.544187545776367\， 11.37692642211914)"
"1007","[0.19717524945735931\， 0.5040395259857178\， 0.17668797075748444\， 0.23558396100997925]","1.0","[0.0\， 0.7853981852531433\， 0.5235987901687622]","faces/f1007-1.json","Laura","(602.5675166728661\， -161.47675500806713)","(18.24083137512207\， -38.39246368408203)"
"1008","[0.6195492148399353\， 0.46380725502967834\， 0.20579853653907776\， 0.2743980288505554]","1.0","[0.0\， -0.7853981852531433\， 0.0]","faces/f1008-0.json","Pearl","(624.5516264341447\， -0.009048186240129902)","(43.22174072265625\， 15.708786010742188)"
"1008","[0.20620915293693542\， 0.5187019109725952\， 0.17729662358760834\， 0.23639549314975739]","1.0","[0.0\， 0.7853981852531433\， 0.0]","faces/f1008-1.json","Laura","(624.448291418669\， 0.004675477745599316)","(18.163190841674805\， -37.47404098510742)"
