"Frame","Face Box","Confidence","Face Rotation","Path","Cluster","Position","T-SNE(FN512)"
Preserved,Preserved,Preserved,Preserved,Preserved,Preserved,Point,Point
"100","[0.3202582895755768\， 0.32152125239372253\， 0.18406054377555847\， 0.24541404843330383]","1.0","[0.0\， 1.5707963705062866\， 0.0]","faces/f100-0.json","Johnny","(30.933325441959038\， 53.61130206930825)","(-18.941909790039062\， -23.049964904785156)"
"100","[0.564719557762146\， 0.40216365456581116\， 0.16682681441307068\， 0.22243574261665344]","1.0","[0.0\， 0.0\， 0.0]","faces/f100-1.json","Uncle Pio","(30.99444075900568\， 53.631462669851274)","(-64.40570068359375\， 18.522445678710938)"
"1002","[0.16184525191783905\， 0.5338872671127319\， 0.12726515531539917\， 0.16968686878681183]","1.0","[0.0\， 0.0\， 0.0]","faces/f1002-0.json","Ballin","(-0.08453868701475799\， -620.7958760093087)","(-18.686521530151367\， 41.853538513183594)"
"1003","[0.16334684193134308\， 0.5336501002311707\， 0.1283363699913025\， 0.17111515998840332]","1.0","[0.0\， 0.0\， 0.0]","faces/f1003-0.json","Ballin","(160.7521804882444\， -600.2409941572563)","(-18.83632469177246\， 41.83492660522461)"
"1004","[0.5046132206916809\， 0.4824613034725189\， 0.21110817790031433\， 0.28147757053375244]","1.0","[0.0\， 0.0\， 0.0]","faces/f1004-0.json","Johnny","(311.0228924356219\， -538.7098391064699)","(-49.640174865722656\， -8.878140449523926)"
"1005","[0.4864991307258606\， 0.49236398935317993\， 0.21557974815368652\， 0.2874396741390228]","1.0","[0.0\， 0.0\， 0.0]","faces/f1005-0.json","Johnny","(440.28588522040417\， -440.2911694404037)","(-50.41200637817383\， -9.69405460357666)"
"1006","[0.48899561166763306\， 0.49725010991096497\， 0.21259701251983643\， 0.28346267342567444]","1.0","[0.0\， 0.0\， 0.0]","faces/f1006-0.json","Johnny","(539.7758217703832\， -311.64199182035543)","(-50.46952438354492\， -9.984121322631836)"
"1007","[0.4933101534843445\， 0.4959098994731903\， 0.2051425725221634\， 0.2735234200954437]","1.0","[0.0\， 0.0\， 0.0]","faces/f1007-0.json","Johnny","(602.6415503988728\， -161.47878741469526)","(-50.40183639526367\， -9.776107788085938)"
"1008","[0.484266459941864\， 0.49140629172325134\， 0.21186856925487518\， 0.28249141573905945]","1.0","[0.0\， 0.0\， 0.0]","faces/f1008-0.json","Johnny","(624.5178057454202\， -0.0021484270667366523)","(-50.4250602722168\， -9.341262817382812)"
"1009","[0.335648775100708\， 0.42234504222869873\， 0.2306235134601593\， 0.3074980080127716]","1.0","[0.0\， 0.7853981852531433\， 0.0]","faces/f1009-0.json","Ballin","(603.799043143373\， 161.77906170601335)","(-19.334962844848633\， 42.328094482421875)"
"101","[0.3045887351036072\， 0.2826962172985077\， 0.18323127925395966\， 0.24430838227272034]","1.0","[0.0\， 0.7853981852531433\， 0.0]","faces/f101-0.json","Johnny","(16.147030256115205\， 60.38953255373946)","(-17.7687931060791\， -19.091434478759766)"
"101","[0.5729635953903198\， 0.4461752474308014\， 0.17597997188568115\， 0.2346399575471878]","1.0","[0.0\， 0.0\， -0.5235987901687622]","faces/f101-1.json","Uncle Pio","(16.214123971186883\， 60.43040231127253)","(-64.03996276855469\， 18.09515380859375)"
"1012","[0.15844181180000305\， 0.39501824975013733\， 0.132001131772995\， 0.17600150406360626]","1.0","[0.0\， 1.5707963705062866\， 0.0]","faces/f1012-0.json","N/A","(313.4146104529601\， 542.9716827352747)","(11.478434562683105\， -1.5686501264572144)"
"1012","[0.5126074552536011\， 0.5129969120025635\， 0.10445932298898697\， 0.1392790973186493]","1.0","[0.0\， 0.7853981852531433\， 0.0]","faces/f1012-1.json","N/A","(313.5031518638235\， 543.0011774008378)","(7.400803089141846\， 2.104238271713257)"
"102","[0.31760209798812866\， 0.21879972517490387\， 0.18611572682857513\， 0.24815431237220764]","1.0","[0.0\， 0.7853981852531433\， 0.0]","faces/f102-0.json","Johnny","(-0.045599475502789796\， 63.125352105206765)","(-17.928112030029297\， -19.689605712890625)"
"102","[0.5698450803756714\， 0.4291776120662689\， 0.17809414863586426\， 0.23745886981487274]","1.0","[0.0\， 0.0\， 0.0]","faces/f102-1.json","Uncle Pio","(0.0174612700940959\， 63.17794657692961)","(-63.50743865966797\， 18.02741241455078)"
"1025","[0.49212485551834106\， 0.6376557946205139\， 0.11617336422204971\， 0.15489782392978668]","1.0","[0.0\， 0.7853981852531433\， 0.0]","faces/f1025-0.json","N/A","(-164.36612867868507\， -613.3809817137197)","(11.914009094238281\， 28.043132781982422)"
"1026","[0.28424426913261414\， 0.6360328197479248\， 0.11356388032436371\， 0.1514185070991516]","1.0","[0.0\， 1.5707963705062866\， -0.5235987901687622]","faces/f1026-0.json","N/A","(-0.053938932724631614\， -635.6399048385413)","(-3.565241575241089\， 11.396965026855469)"
"1026","[0.5395351648330688\， 0.6533282995223999\， 0.10592727363109589\， 0.14123636484146118]","1.0","[0.0\， -0.7853981852531433\， 0.0]","faces/f1026-1.json","N/A","(0.00988379120048205\， -635.6355809685977)","(5.94559383392334\， 8.004605293273926)"
"1027","[0.2191331386566162\， 0.6278305053710938\， 0.13622984290122986\， 0.18163980543613434]","1.0","[0.0\， 0.7853981852531433\， 0.0]","faces/f1027-0.json","Det. Obregon","(164.6146537331017\， -614.5803461251335)","(3.377692222595215\， 51.95585250854492)"
"1027","[0.5616048574447632\， 0.6377912163734436\， 0.12737233936786652\， 0.16982978582382202]","1.0","[0.0\， -0.7853981852531433\， -0.5235987901687622]","faces/f1027-1.json","Johnny","(164.70027166279874\， -614.5778559473829)","(-18.2764835357666\， -18.196552276611328)"
"1028","[0.5994834899902344\， 0.6384817957878113\， 0.12262556701898575\， 0.16350075602531433]","1.0","[0.0\， -0.7853981852531433\， 0.0]","faces/f1028-0.json","N/A","(318.48139261163067\， -551.548255204888)","(-5.428696632385254\， 10.009561538696289)"
"1028","[0.23736682534217834\， 0.6136720776557922\， 0.14650240540504456\， 0.19533655047416687]","1.0","[0.0\， 0.7853981852531433\， 0.0]","faces/f1028-1.json","Det. Obregon","(318.39086344546865\， -551.554457634421)","(4.743711948394775\， 57.700870513916016)"
"1029","[0.22125034034252167\， 0.6261014342308044\， 0.13912567496299744\， 0.18550090491771698]","1.0","[0.0\， 0.7853981852531433\， 0.0]","faces/f1029-0.json","Det. Obregon","(450.7339434213114\， -450.77210547770716)","(4.951493740081787\， 57.888187408447266)"
"1029","[0.6661035418510437\， 0.6281983256340027\， 0.14053772389888763\， 0.18738363683223724]","1.0","[0.0\， -0.7853981852531433\， 0.0]","faces/f1029-1.json","Johnny","(450.8451567216885\， -450.77158125485636)","(-19.84901237487793\， -19.881027221679688)"
"103","[0.25618261098861694\， 0.3939078152179718\， 0.20045793056488037\， 0.26727724075317383]","1.0","[0.0\， 0.7853981852531433\， 0.0]","faces/f103-0.json","Johnny","(-16.57754797547993\， 61.614243542316686)","(-19.758018493652344\， -22.484420776367188)"
"103","[0.6112598180770874\， 0.4542469084262848\， 0.1785237342119217\， 0.23803164064884186]","1.0","[0.0\， 0.0\， 0.0]","faces/f103-1.json","Uncle Pio","(-16.488778673707813\， 61.629328315618764)","(-63.69861602783203\， 18.20146942138672)"
"1030","[0.17025478184223175\， 0.6249027848243713\， 0.1426764577627182\， 0.19023528695106506]","1.0","[0.0\， 0.7853981852531433\， 0.0]","faces/f1030-0.json","Det. Obregon","(552.5735577844284\， -319.0448612603035)","(4.970213890075684\， 57.94716262817383)"
"1031","[0.6514098048210144\， 0.5872270464897156\， 0.17178335785865784\， 0.22904446721076965]","1.0","[0.0\， 0.7853981852531433\， 0.0]","faces/f1031-1.json","Det. Obregon","(617.0439723808713\， -165.3044847986094)","(4.967823028564453\， 52.503326416015625)"
"1032","[0.5928043723106384\， 0.600551187992096\， 0.12675587832927704\， 0.16900783777236938]","1.0","[0.0\， -1.5707963705062866\， 0.0]","faces/f1032-0.json","N/A","(639.4145054409037\， 0.025137796986746785)","(-6.480823040008545\， 8.427026748657227)"
"1032","[0.28137290477752686\， 0.5216549634933472\， 0.12728619575500488\， 0.16971492767333984]","1.0","[0.0\， 0.7853981852531433\， 0.0]","faces/f1032-1.json","Uncle Pio","(639.3366475740204\， 0.005413740862059591)","(-63.12834548950195\， 22.954360961914062)"
"1033","[0.6040104031562805\， 0.5751259922981262\， 0.16842731833457947\， 0.22456975281238556]","1.0","[0.0\， 0.0\， 0.0]","faces/f1033-0.json","Det. Obregon","(618.2290306195583\， 165.66578361417245)","(4.895229339599609\， 56.247108459472656)"
"1033","[0.24938437342643738\， 0.5275607705116272\， 0.12958946824073792\， 0.1727859526872635]","1.0","[0.0\， 0.7853981852531433\， 0.0]","faces/f1033-1.json","Uncle Pio","(618.1403741121259\， 165.65389230872583)","(-62.60529327392578\， 23.0201473236084)"
"1035","[0.48243942856788635\， 0.6142173409461975\， 0.1084742322564125\， 0.14463230967521667]","1.0","[0.0\， 0.0\， 0.0]","faces/f1035-0.json","Johnny","(453.4278332930119\， 453.46077777111384)","(-43.24654769897461\， -16.414859771728516)"
"1035","[0.33420294523239136\， 0.38836029171943665\， 0.11742345243692398\， 0.1565646082162857]","1.0","[0.0\， 0.7853981852531433\， 0.0]","faces/f1035-1.json","Ballin","(453.390774172178\， 453.40431350880715)","(-14.896681785583496\， 36.01831817626953)"
"1036","[0.21813324093818665\， 0.572161078453064\， 0.12589596211910248\， 0.16786128282546997]","1.0","[0.0\， 0.7853981852531433\， 0.0]","faces/f1036-0.json","Johnny","(320.86431591895257\， 555.8933896639337)","(-44.13665008544922\， -17.883935928344727)"
"1036","[0.5847724676132202\， 0.4406892657279968\， 0.1138555258512497\， 0.15180736780166626]","1.0","[0.0\， 0.0\， 0.0]","faces/f1036-2.json","Ballin","(320.95597572562133\， 555.8605217107524)","(-14.897134780883789\， 36.00849914550781)"
"1037","[0.11799903213977814\， 0.6409426331520081\， 0.10856844484806061\， 0.1447579264640808]","1.0","[0.0\， 0.7853981852531433\， 0.0]","faces/f1037-0.json","Johnny","(166.19292298589863\， 620.6320798552546)","(-45.57160949707031\， -17.124929428100586)"
"1037","[0.39097923040390015\， 0.6887992024421692\， 0.11451754719018936\， 0.1526900678873062]","1.0","[0.0\， -0.7853981852531433\， 0.0]","faces/f1037-1.json","Ballin","(166.26116803546466\， 620.6440439975771)","(-19.120080947875977\， 38.07828903198242)"
"104","[0.5125676989555359\， 0.5187013149261475\， 0.15236014127731323\， 0.20314686000347137]","1.0","[0.0\， -0.7853981852531433\， 0.0]","faces/f104-0.json","Uncle Pio","(-32.21424937960895\， 55.80683395518972)","(-62.90623092651367\， 20.956790924072266)"
"106","[0.6074717044830322\， 0.5946991443634033\， 0.12702693045139313\， 0.16936923563480377]","1.0","[0.0\， -0.7853981852531433\， 0.0]","faces/f106-0.json","Johnny","(-56.8484091354616\， 32.86063130783001)","(-19.110204696655273\， -18.99002456665039)"
"106","[0.2753455638885498\， 0.5203079581260681\， 0.12298746407032013\， 0.1639832854270935]","1.0","[0.0\， 0.7853981852531433\， 0.0]","faces/f106-1.json","Uncle Pio","(-56.93144067061022\， 32.84203351127068)","(-61.89379119873047\， 24.352855682373047)"
"1064","[0.6331164836883545\， 0.284027636051178\， 0.18497112393379211\， 0.24662818014621735]","1.0","[0.0\， -0.7853981852531433\， 0.0]","faces/f1064-0.json","Johnny","(-329.5754165312361\， 570.8450143950939)","(-31.666259765625\， -22.776803970336914)"
"1065","[0.6411916017532349\， 0.259255975484848\， 0.18228761851787567\， 0.24305015802383423]","1.0","[0.0\， -0.7853981852531433\， 0.0]","faces/f1065-0.json","Johnny","(-466.5398885335678\， 466.5150004278949)","(-31.83116912841797\， -22.7514591217041)"
"1066","[0.6436864733695984\， 0.27219635248184204\， 0.20159249007701874\， 0.26878997683525085]","1.0","[0.0\， -0.7853981852531433\， 0.0]","faces/f1066-0.json","Johnny","(-571.9362043028505\， 330.1713099576915)","(-48.752708435058594\， -0.11981868743896484)"
