"Frame","Face Box","Confidence","Face Rotation","Path","Cluster","Position","T-SNE(FN512)"
Preserved,Preserved,Preserved,Preserved,Preserved,Preserved,Point,Point
"1006","[0.8674191236495972\， 0.4568765163421631\， 0.09856266528367996\， 0.18178704380989075]","1.0","[0.0\， -0.7853981852531433\， 0.0]","faces/f1006-0.json","N/A","(539.8704276483787\， -311.65208521874763)","(4.536773681640625\， 10.624868392944336)"
"1006","[0.47060784697532654\， 0.43533387780189514\， 0.1027689129114151\， 0.18954496085643768]","1.0","[0.0\， -0.7853981852531433\， 0.0]","faces/f1006-3.json","Jeff","(539.7712248292102\， -311.6574708783827)","(-40.29745101928711\， 0.41645050048828125)"
"1007","[0.8928917646408081\， 0.4492243826389313\， 0.10008536279201508\， 0.1845954805612564]","1.0","[0.0\， 0.0\， -0.5235987901687622]","faces/f1007-0.json","N/A","(602.7414458016619\， -161.49045879390383)","(4.544742584228516\， 10.673530578613281)"
"1007","[0.47050905227661133\， 0.43569111824035645\， 0.10182008892297745\， 0.18779496848583221]","1.0","[0.0\， -0.7853981852531433\， 0.0]","faces/f1007-1.json","Jeff","(602.6358501235709\， -161.49384211000347)","(-40.29385757446289\， 0.44551897048950195)"
"1008","[0.8255501985549927\， 0.5011405944824219\， 0.1067175641655922\， 0.19682778418064117]","1.0","[0.0\， -0.7853981852531433\， 0.0]","faces/f1008-0.json","N/A","(624.6031266800735\， 0.00028514862305598077)","(4.795206069946289\， 13.751011848449707)"
"1008","[0.16258947551250458\， 0.6485181450843811\， 0.10878387838602066\， 0.20063884556293488]","1.0","[0.0\， -0.7853981852531433\， 0.0]","faces/f1008-1.json","Jeff","(624.4373864993129\， 0.03712953627354579)","(-36.697261810302734\， -4.263723850250244)"
"1009","[0.830703616142273\， 0.4961216151714325\， 0.10982151329517365\， 0.2025526463985443]","1.0","[0.0\， -0.7853981852531433\， 0.0]","faces/f1009-0.json","N/A","(603.9228068536333\， 161.79750584924903)","(4.874172687530518\， 13.786266326904297)"
"1009","[0.16113150119781494\， 0.660166323184967\， 0.10246521234512329\， 0.18898482620716095]","1.0","[0.0\， -0.7853981852531433\， 0.0]","faces/f1009-1.json","Jeff","(603.7554138248972\， 161.83851702625242)","(-36.67390060424805\， -4.259031772613525)"
"1010","[0.4755568504333496\， 0.3780469596385956\， 0.09573770314455032\， 0.17657673358917236]","1.0","[0.0\， 0.0\， 0.0]","faces/f1010-2.json","Jeff","(541.9186989503384\， 312.84994652249895)","(-38.4272346496582\， -3.2179336547851562)"
"1011","[0.6266500949859619\， 0.4911559820175171\， 0.09019135683774948\， 0.1663471758365631]","1.0","[0.0\， -0.7853981852531433\， 0.0]","faces/f1011-0.json","N/A","(442.9495155611191\， 442.91564203285293)","(1.0877214670181274\， 10.117607116699219)"
"1011","[0.8262583017349243\， 0.4950965344905853\， 0.10529086738824844\， 0.1941964030265808]","1.0","[0.0\， -0.7853981852531433\， 0.0]","faces/f1011-1.json","N/A","(442.9994176128063\， 442.9166271709712)","(4.630303382873535\， 13.819957733154297)"
"1011","[0.2067834436893463\， 0.6578367352485657\， 0.10474133491516113\， 0.19318287074565887]","1.0","[0.0\， 0.0\， 0.0]","faces/f1011-2.json","Jeff","(442.84454889829493\， 442.9573122211607)","(-37.34672546386719\， 0.619255542755127)"
"1012","[0.18871192634105682\， 0.6388736963272095\， 0.10905158519744873\， 0.2011326104402542]","1.0","[0.0\， 0.0\， 0.0]","faces/f1012-0.json","N/A","(313.4221779815954\， 543.032646596919)","(1.9779365062713623\， -9.057849884033203)"
"1012","[0.6267558336257935\， 0.49574577808380127\， 0.08411989361047745\， 0.15514908730983734]","1.0","[0.0\， -0.7853981852531433\， 0.0]","faces/f1012-1.json","N/A","(313.53168895841657\， 542.9968646173581)","(1.0760090351104736\， 10.012057304382324)"
"1012","[0.8236790895462036\， 0.49338972568511963\， 0.10570704936981201\， 0.19496400654315948]","1.0","[0.0\， -0.7853981852531433\， 0.0]","faces/f1012-2.json","N/A","(313.58091977239667\， 542.9962756042585)","(4.681301593780518\， 13.80966854095459)"
"1013","[0.5451973676681519\， 0.607890248298645\， 0.13534460961818695\， 0.24962694942951202]","1.0","[0.0\， 0.0\， 0.0]","faces/f1013-0.json","Jeff","(162.4511958991476\， 606.2609196898675)","(-49.768798828125\， -17.649526596069336)"
"1013","[0.1095515713095665\， 0.4052587151527405\， 0.24331238865852356\， 0.44876059889793396]","1.0","[0.0\， -0.7853981852531433\， 0.0]","faces/f1013-1.json","Carl","(162.34228445005795\， 606.210261806581)","(-9.862792015075684\， 48.484378814697266)"
"1013","[0.057459138333797455\， 0.44343745708465576\， 0.12074591964483261\， 0.22270141541957855]","1.0","[0.0\， 0.0\， 0.0]","faces/f1013-2.json","Vicki","(162.329261341814\， 606.219806492064)","(35.129859924316406\， -4.586700439453125)"
"1013","[0.6736325621604919\， 0.283593088388443\， 0.1755867898464203\， 0.32384881377220154]","1.0","[0.0\， -0.7853981852531433\， 0.0]","faces/f1013-3.json","Vicki","(162.48330469777068\， 606.1798453998899)","(51.92448806762695\， -5.801611423492432)"
"1013","[0.4078539311885834\， 0.611497163772583\， 0.11328588426113129\， 0.2089422643184662]","1.0","[0.0\， 0.0\， -0.5235987901687622]","faces/f1013-4.json","N/A","(162.4168600400277\， 606.261821418736)","(-6.163989543914795\， 5.9445343017578125)"
