"Frame","Face Box","Confidence","Face Rotation","Path","Cluster","Position","T-SNE(FN512)"
Preserved,Preserved,Preserved,Preserved,Preserved,Preserved,Point,Point
"1000","[0.45417362451553345\， 0.5789695382118225\， 0.1428014039993286\， 0.19608551263809204]","1.0","[0.0\， -0.7853981852531433\， 0.0]","faces/f1000-0.json","N/A","(-309.7940652895275\， -536.5394751775425)","(-29.748538970947266\， 17.896591186523438)"
"1001","[0.3659873604774475\， 0.6898861527442932\， 0.14253540337085724\， 0.19572025537490845]","1.0","[0.0\， 0.0\， 0.0]","faces/f1001-0.json","Wataru","(-160.54913638177723\， -599.0050270550246)","(-3.7497940063476562\， 35.97944259643555)"
"1002","[0.36218008399009705\， 0.6811000108718872\， 0.1417085975408554\， 0.1945849359035492]","1.0","[0.0\， 0.0\， 0.0]","faces/f1002-0.json","Wataru","(-0.03445497899669349\， -620.7590728233689)","(-4.207398891448975\， 36.03025436401367)"
"1003","[0.366266667842865\， 0.6629335880279541\， 0.14229553937911987\， 0.19539088010787964]","1.0","[0.0\， 0.0\， 0.0]","faces/f1003-0.json","Wataru","(160.80291044472227\， -600.2086732853071)","(-4.8614325523376465\， 35.68801498413086)"
"1004","[0.3683661222457886\， 0.6784474849700928\， 0.1363755762577057\， 0.18726198375225067]","1.0","[0.0\， 0.0\， 0.0]","faces/f1004-0.json","Wataru","(310.9888306610104\， -538.6608425610955)","(-4.523634433746338\， 36.351783752441406)"
"1005","[0.36340203881263733\， 0.6615022420883179\， 0.1420828253030777\， 0.19509880244731903]","1.0","[0.0\， 0.0\， 0.0]","faces/f1005-0.json","Wataru","(440.25511094742586\， -440.2488848772199)","(-5.1552414894104\， 35.62096405029297)"
"1018","[0.48981285095214844\， 0.5136814117431641\， 0.10849452018737793\， 0.14897754788398743]","1.0","[0.0\， -0.7853981852531433\， 0.5235987901687622]","faces/f1018-0.json","N/A","(-546.2198302654699\， 315.36211600512274)","(5.647013187408447\， 2.746572494506836)"
"1019","[0.5046440958976746\， 0.6862326264381409\， 0.1031666100025177\， 0.1416616141796112]","1.0","[0.0\， -1.5707963705062866\， 0.5235987901687622]","faces/f1019-0.json","N/A","(-609.8235103711095\， 163.44858638150714)","(-23.82871437072754\， -5.827218532562256)"
"1019","[0.1495501548051834\， 0.6090332865715027\， 0.09367819130420685\， 0.12863273918628693]","1.0","[0.0\， 0.0\， 0.0]","faces/f1019-1.json","Wataru","(-609.9122838563826\， 163.42928654654048)","(-0.463033527135849\， 35.33574295043945)"
"102","[0.7490405440330505\， 0.691856324672699\， 0.14179912209510803\， 0.19470924139022827]","1.0","[0.0\， 0.0\， 0.0]","faces/f102-0.json","N/A","(0.062260136008440686\， 63.243616255081214)","(17.85980987548828\， -6.456220626831055)"
"102","[0.4221591651439667\， 0.29992425441741943\， 0.2685486376285553\， 0.3687533438205719]","1.0","[0.0\， 0.7853981852531433\， 0.0]","faces/f102-1.json","N/A","(-0.019460208713830293\， 63.145633237517394)","(-22.402280807495117\， -2.4229743480682373)"
"1020","[0.15494321286678314\， 0.5958034992218018\， 0.09253041446208954\， 0.12705668807029724]","1.0","[0.0\， 0.0\， 0.0]","faces/f1020-0.json","Wataru","(-632.0427859359137\， 0.02395087480978364)","(-1.0241913795471191\， 34.773128509521484)"
"1021","[0.15915238857269287\， 0.5986964702606201\， 0.09226325154304504\， 0.1266898363828659]","1.0","[0.0\， 0.0\， 0.0]","faces/f1021-0.json","Wataru","(-611.1067913870403\， -163.698064663212)","(-0.9352269768714905\， 34.87690353393555)"
"103","[0.08810247480869293\， 0.8238043785095215\， 0.10817855596542358\， 0.14854368567466736]","1.0","[0.0\， 0.0\， 0.0]","faces/f103-0.json","N/A","(-16.61956800952491\， 61.72171768313957)","(16.562580108642578\， -1.7598774433135986)"
"103","[0.6376900672912598\， 0.3191549479961395\， 0.25439852476119995\， 0.3493233621120453]","1.0","[0.0\， 0.7853981852531433\， 0.0]","faces/f103-1.json","N/A","(-16.48217111140427\， 61.59555532551123)","(-22.238889694213867\， -2.55539870262146)"
"104","[0.16752520203590393\， 0.643719494342804\， 0.137048602104187\， 0.1881861388683319]","1.0","[0.0\， 0.0\， 0.0]","faces/f104-0.json","N/A","(-32.30051000383886\， 55.83808850004388)","(15.946707725524902\， -6.993721961975098)"
"104","[0.42516499757766724\， 0.43000832200050354\， 0.20494931936264038\， 0.2814229428768158]","1.0","[0.0\， -0.7853981852531433\， 0.0]","faces/f104-2.json","N/A","(-32.23610005495342\， 55.784660706958306)","(-22.90077018737793\， -2.6590051651000977)"
"1041","[0.6077086925506592\， 0.6850117444992065\， 0.09169160574674606\， 0.1259048879146576]","1.0","[0.0\， 0.0\， 0.0]","faces/f1041-0.json","Wataru","(-456.0338888623654\， 456.10706897162544)","(-1.2244614362716675\， 30.20124053955078)"
"1042","[0.6078433394432068\， 0.6828621029853821\， 0.09461217373609543\， 0.12991522252559662]","1.0","[0.0\， 0.0\， 0.0]","faces/f1042-0.json","Wataru","(-559.0677438648488\， 322.8391937866096)","(-0.41441965103149414\， 31.6768741607666)"
"1043","[0.6110786199569702\， 0.6812812685966492\， 0.09153350442647934\， 0.12568779289722443]","1.0","[0.0\， 0.0\， 0.0]","faces/f1043-0.json","Wataru","(-624.1597988092589\， 167.2958752127153)","(-1.318486213684082\， 30.364816665649414)"
"1044","[0.6135444641113281\， 0.6923670768737793\， 0.08963332325220108\， 0.12307858467102051]","1.0","[0.0\， -0.7853981852531433\， 0.0]","faces/f1044-0.json","Wataru","(-646.7977008404939\， 0.048091769236826315)","(-0.12965576350688934\， 29.676803588867188)"
"1045","[0.6135982275009155\， 0.687134325504303\， 0.08920474350452423\， 0.12249010056257248]","1.0","[0.0\， 0.0\， 0.0]","faces/f1045-0.json","Wataru","(-625.3560769964797\， -167.52448187004248)","(-0.25198933482170105\， 30.79266357421875)"
"1045","[0.40337565541267395\， 0.4247399568557739\， 0.08329170942306519\， 0.11437070369720459]","1.0","[0.0\， 1.5707963705062866\， -1.5707963705062866]","faces/f1045-1.json","N/A","(-625.4086326395018\， -167.5900804622046)","(18.549779891967773\， 4.414842128753662)"
"1046","[0.6134815812110901\， 0.6829690337181091\， 0.0865238681435585\， 0.11880889534950256]","1.0","[0.0\， 0.0\， 0.0]","faces/f1046-0.json","Wataru","(-561.2125711746553\， -323.98686643721635)","(-0.6752627491950989\， 30.90656280517578)"
"1047","[0.5819608569145203\， 0.6477917432785034\， 0.09966966509819031\， 0.13685983419418335]","1.0","[0.0\， 0.0\， 0.0]","faces/f1047-0.json","Wataru","(-458.66891842090274\， -458.65246069930924)","(-1.0944675207138062\， 32.48918151855469)"
"1048","[0.594136655330658\， 0.6249779462814331\， 0.08749566972255707\， 0.12014330923557281]","1.0","[0.0\， 0.0\， -0.5235987901687622]","faces/f1048-0.json","Wataru","(-324.6286397492075\， -562.28281551851)","(1.5608099699020386\， 35.77881622314453)"
"1049","[0.6150704026222229\， 0.7101536393165588\， 0.100912906229496\， 0.1385669708251953]","1.0","[0.0\， -0.7853981852531433\， 0.0]","faces/f1049-0.json","Wataru","(-168.18391896254215\， -627.7257543217196)","(0.35877880454063416\， 32.11053466796875)"
"1049","[0.38761693239212036\， 0.45393842458724976\， 0.0808468908071518\， 0.11101364344358444]","1.0","[0.0\， 1.5707963705062866\， -1.0471975803375244]","faces/f1049-1.json","N/A","(-168.24078233009968\， -627.7898081254019)","(18.24768829345703\， 4.756903648376465)"
"105","[0.8256216645240784\， 0.7785714864730835\， 0.11474355310201645\， 0.15755830705165863]","1.0","[0.0\， 0.0\， 0.0]","faces/f105-0.json","N/A","(-45.918965077363474\， 46.070013365112615)","(17.610939025878906\， -3.030881404876709)"
"105","[0.5896112322807312\， 0.6724581718444824\， 0.14341583847999573\， 0.1969292014837265]","1.0","[0.0\， 0.0\， 0.0]","faces/f105-1.json","N/A","(-45.97796768542431\， 46.043485036455465)","(17.87571907043457\， -6.405821800231934)"
"105","[0.05607706680893898\， 0.8117082715034485\， 0.11921165138483047\， 0.1636936068534851]","1.0","[0.0\， 0.0\， 0.0]","faces/f105-2.json","N/A","(-46.11135122679226\， 46.078297561370206)","(16.822412490844727\， -3.936607599258423)"
"105","[0.34614941477775574\， 0.29515302181243896\， 0.2797476351261139\， 0.3841310739517212]","1.0","[0.0\， 0.7853981852531433\， 0.0]","faces/f105-3.json","N/A","(-46.038833139800055\， 45.949158748947454)","(-22.346786499023438\， -2.4166507720947266)"
"1050","[0.6098855137825012\， 0.6806513071060181\， 0.09913357347249985\， 0.13612371683120728]","1.0","[0.0\， 0.0\， 0.0]","faces/f1050-0.json","Wataru","(0.027471378423631537\， -650.498315434093)","(-0.8208147287368774\， 31.46741485595703)"
"1050","[0.39801228046417236\， 0.4600168764591217\， 0.08351018279790878\， 0.11467069387435913]","1.0","[0.0\， 1.5707963705062866\， -1.0471975803375244]","faces/f1050-1.json","N/A","(-0.025496929905950677\， -650.5534740417547)","(18.97194480895996\， 3.5333774089813232)"
