"Frame","Face Box","Confidence","Face Rotation","Path","Cluster","Position","T-SNE(FN512)"
Preserved,Preserved,Preserved,Preserved,Preserved,Preserved,Point,Point
"100","[0.15240462124347687\， 0.6819770932197571\， 0.12634247541427612\， 0.16971378028392792]","1.0","[0.0\， 0.0\， 0.0]","faces/f100-0.json","Natsuhisa","(30.891362024876013\， 53.70141602951476)","(1.839295744895935\， 40.11872100830078)"
"1006","[0.35207146406173706\， 0.3315567970275879\， 0.30561479926109314\， 0.4105273187160492]","1.0","[0.0\， 0.7853981852531433\， 0.0]","faces/f1006-0.json","Natsuhisa","(539.7415907334818\， -311.6834151485763)","(0.10712099075317383\， 24.739721298217773)"
"1007","[0.36941850185394287\， 0.25675225257873535\， 0.3572927713394165\， 0.47994551062583923]","1.0","[0.0\， 0.0\， 0.0]","faces/f1007-0.json","Eri","(602.6105774859652\， -161.53857682641888)","(16.123748779296875\， 19.061735153198242)"
"1008","[0.6316992044448853\， 0.5055755972862244\， 0.12636572122573853\， 0.16974499821662903]","1.0","[0.0\， -0.7853981852531433\， 0.0]","faces/f1008-0.json","Eri","(624.554663931546\， 0.0013938993240066033)","(14.73262882232666\， 20.584747314453125)"
"1009","[0.6152649521827698\， 0.5000084042549133\， 0.12553566694259644\， 0.16863000392913818]","1.0","[0.0\， -0.7853981852531433\， 0.0]","faces/f1009-0.json","Eri","(603.8689471876435\， 161.7984775465199)","(14.610062599182129\， 20.701234817504883)"
"1010","[0.6175820827484131\， 0.5048897862434387\， 0.12207936495542526\， 0.1639872044324875]","1.0","[0.0\， -0.7853981852531433\， 0.0]","faces/f1010-0.json","Eri","(541.9542052584171\， 312.88165722915016)","(14.977535247802734\， 20.493623733520508)"
"1011","[0.6221219301223755\， 0.49973371624946594\， 0.12706227600574493\， 0.1706806719303131]","1.0","[0.0\， -0.7853981852531433\， 0.0]","faces/f1011-0.json","Eri","(442.9483835199032\， 442.9177864664109)","(14.785319328308105\， 20.498872756958008)"
"1012","[0.6097357273101807\， 0.5021053552627563\， 0.12499789148569107\， 0.16790761053562164]","1.0","[0.0\， -0.7853981852531433\， 0.0]","faces/f1012-0.json","Eri","(313.52743393183766\， 542.9984545116529)","(15.870331764221191\， 20.64728355407715)"
"1013","[0.6160737872123718\， 0.5028602480888367\， 0.11750512570142746\， 0.1578427106142044]","1.0","[0.0\， -0.7853981852531433\， 0.0]","faces/f1013-0.json","Eri","(162.46891500403365\， 606.234662189815)","(15.331068992614746\， 20.300926208496094)"
"1014","[0.5233122110366821\， 0.44386354088783264\， 0.15132011473178864\， 0.20326581597328186]","1.0","[0.0\， 0.0\， 0.0]","faces/f1014-0.json","Eri","(0.005828052760091823\， 628.2250963200046)","(15.547284126281738\， 15.189430236816406)"
"1015","[0.4590696692466736\， 0.5475434064865112\， 0.17652827501296997\， 0.23712752759456635]","1.0","[0.0\， 0.0\， 0.0]","faces/f1015-0.json","Natsuhisa","(-162.77083969580502\， 607.4427410685122)","(0.6737444400787354\， 27.354158401489258)"
"1016","[0.44345754384994507\， 0.5778239965438843\， 0.1533839851617813\， 0.2060381919145584]","1.0","[0.0\， 0.0\， 0.0]","faces/f1016-0.json","N/A","(-314.75326604882866\， 545.1636210422225)","(-30.05349349975586\， -11.411408424377441)"
"1026","[0.6488357782363892\， 0.5808048248291016\， 0.12932825088500977\， 0.17372451722621918]","1.0","[0.0\， 0.7853981852531433\， 0.0]","faces/f1026-0.json","N/A","(0.03720894455131213\， -635.653711837271)","(-16.727603912353516\， -4.866937637329102)"
"1027","[0.44101864099502563\， 0.6070224046707153\， 0.16516709327697754\， 0.22186625003814697]","1.0","[0.0\， 0.0\， 0.0]","faces/f1027-0.json","Natsuhisa","(164.6701251086863\， -614.5855481503086)","(-3.1875252723693848\， 26.244619369506836)"
"1028","[0.36865970492362976\， 0.5894991159439087\， 0.1640785187482834\， 0.2204039841890335]","1.0","[0.0\， 0.0\， 0.0]","faces/f1028-0.json","Eri","(318.423686665364\， -551.560500874849)","(23.02167510986328\， 11.537307739257812)"
"1029","[0.3875015676021576\， 0.5800365805625916\， 0.1509137749671936\， 0.20272000133991241]","1.0","[0.0\， 0.0\， 0.0]","faces/f1029-0.json","Eri","(450.7755062281263\， -450.7836216911242)","(22.8854923248291\， 11.625635147094727)"
"1030","[0.3040101230144501\， 0.6917324066162109\， 0.1066209152340889\， 0.1432221233844757]","1.0","[0.0\， 0.7853981852531433\， 0.0]","faces/f1030-0.json","Natsuhisa","(552.6069966197215\， -319.02815385485553)","(-2.11852765083313\， 39.67176055908203)"
"1032","[0.31087297201156616\， 0.6883229613304138\， 0.1108604222536087\， 0.14891698956489563]","1.0","[0.0\， 0.7853981852531433\， 0.0]","faces/f1032-1.json","N/A","(639.3440225908289\， 0.04708074032132625)","(-26.83612823486328\， -9.590010643005371)"
"1033","[0.2158617079257965\， 0.7916862368583679\， 0.10688038170337677\， 0.1435706615447998]","1.0","[0.0\， -1.5707963705062866\， 0.5235987901687622]","faces/f1033-0.json","N/A","(618.1319934457507\， 165.71992367531251)","(-35.52679443359375\， -2.685070276260376)"
"1036","[0.08399344235658646\， 0.6696478724479675\， 0.1319207102060318\， 0.17720691859722137]","1.0","[0.0\， -0.7853981852531433\， 1.0471975803375244]","faces/f1036-0.json","N/A","(320.83078096930717\， 555.9177613624324)","(-19.315095901489258\， -10.444103240966797)"
"1037","[0.12768931686878204\， 0.7591491341590881\， 0.10239123553037643\， 0.13754045963287354]","1.0","[0.0\， -1.5707963705062866\， 0.0]","faces/f1037-0.json","N/A","(166.19534555708088\， 620.6616314805063)","(-11.435166358947754\， 3.681210517883301)"
"1039","[0.07471977174282074\， 0.5134509801864624\， 0.24864672124385834\， 0.3340030610561371]","1.0","[0.0\， 1.5707963705062866\， -0.5235987901687622]","faces/f1039-0.json","N/A","(-166.71545384082256\， 621.7971150311087)","(-25.091957092285156\， -11.323796272277832)"
"1039","[0.5334033966064453\， 0.31096091866493225\， 0.22470438480377197\， 0.30184170603752136]","1.0","[0.0\， -1.5707963705062866\， -0.5235987901687622]","faces/f1039-1.json","Eri","(-166.60078293460666\， 621.7464925157283)","(13.12405776977539\， 10.062116622924805)"
