"Frame","Face Box","Confidence","Face Rotation","Path","Cluster","Position","T-SNE(FN512)"
Preserved,Preserved,Preserved,Preserved,Preserved,Preserved,Point,Point
"100","[0.3886571526527405\， 0.4806961417198181\， 0.10781808942556381\， 0.15094533562660217]","1.0","[0.0\， 0.0\， 0.0]","faces/f100-0.json","Alicia","(31.22216428816311\， 54.12176177195741)","(64.32186126708984\， 1.0443780422210693)"
"1000","[0.31509172916412354\， 0.18816810846328735\， 0.405411958694458\， 0.5675767064094543]","1.0","[0.0\， 0.0\， 0.0]","faces/f1000-0.json","Alicia","(-312.5462270677132\， -541.3438353381558)","(56.96763610839844\， 2.8101251125335693)"
"1001","[0.35126569867134094\， 0.2029697448015213\， 0.39398783445358276\， 0.5515829920768738]","1.0","[0.0\， 0.0\， 0.0]","faces/f1001-0.json","Sebastian's Mother","(-161.96084866759628\， -604.3816026358982)","(7.912970542907715\， 33.61796951293945)"
"1002","[0.3826368451118469\， 0.5614157915115356\， 0.1471661478281021\， 0.20603260397911072]","1.0","[0.0\， 0.7853981852531433\， 0.0]","faces/f1002-0.json","Alex Sebastian","(-0.029340788716205296\， -626.2346460521221)","(-35.93689727783203\， -38.59967041015625)"
"1003","[0.45844927430152893\， 0.6244434118270874\， 0.1194942370057106\， 0.16729192435741425]","1.0","[0.0\， -0.7853981852531433\， 0.0]","faces/f1003-0.json","Sebastian's Mother","(162.2368012171945\， -605.4836415020093)","(8.906736373901367\， 32.622169494628906)"
"1003","[0.6866677403450012\， 0.6392120718955994\， 0.12569008767604828\， 0.17596611380577087]","1.0","[0.0\， -1.5707963705062866\， 0.0]","faces/f1003-1.json","Alicia","(162.29385583370538\， -605.4799493369921)","(35.9954719543457\， -2.1575098037719727)"
"1003","[0.19584573805332184\， 0.5858073830604553\， 0.1340457797050476\， 0.18766409158706665]","1.0","[0.0\， 1.5707963705062866\， 0.5235987901687622]","faces/f1003-2.json","N/A","(162.17115033313246\， -605.4933005092009)","(-15.582107543945312\， -11.46280288696289)"
"1004","[0.45052075386047363\， 0.6234076619148254\， 0.1164223700761795\， 0.16299131512641907]","1.0","[0.0\， -0.7853981852531433\， 0.0]","faces/f1004-0.json","Sebastian's Mother","(313.73763018847944\， -543.4000889592483)","(9.048629760742188\， 32.53339385986328)"
"1005","[0.684995174407959\， 0.662217378616333\， 0.12276744842529297\， 0.17187443375587463]","1.0","[0.0\， -1.5707963705062866\， 0.5235987901687622]","faces/f1005-0.json","Alicia","(444.1976957263924\， -444.1108925881558)","(29.89361000061035\， -12.81019401550293)"
"1005","[0.4515537619590759\， 0.6255035400390625\， 0.1175323873758316\， 0.16454534232616425]","1.0","[0.0\， -0.7853981852531433\， 0.0]","faces/f1005-1.json","Sebastian's Mother","(444.1393353732802\， -444.12007104780014)","(8.777525901794434\， 32.745933532714844)"
