"Frame","Face Box","Confidence","Face Rotation","Path","Cluster","Position","T-SNE(FN512)"
Preserved,Preserved,Preserved,Preserved,Preserved,Preserved,Point,Point
"1002","[0.39310041069984436\， 0.6176150441169739\， 0.1004130095243454\， 0.22109286487102509]","1.0","[0.0\， 0.0\， 0.0]","faces/f1002-0.json","Laurey","(-0.02672489731924617\， -621.9016307217294)","(44.81801223754883\， -14.872472763061523)"
"1003","[0.4491065442562103\， 0.609550416469574\， 0.10156373679637909\， 0.22362658381462097]","1.0","[0.0\， 0.0\， 0.0]","faces/f1003-0.json","Laurey","(161.11551940434788\， -601.3114009415041)","(42.604129791259766\， -13.747373580932617)"
"1005","[0.4246559739112854\， 0.5256766080856323\， 0.07051310688257217\， 0.1552582085132599]","1.0","[0.0\， 0.7853981852531433\， 0.0]","faces/f1005-0.json","Annie","(441.0694974991456\， -441.0819143536657)","(34.338844299316406\， 13.785245895385742)"
"1006","[0.48369672894477844\， 0.5480077862739563\， 0.07528989017009735\， 0.16577591001987457]","1.0","[0.0\， -0.7853981852531433\， 0.5235987901687622]","faces/f1006-0.json","N/A","(540.7541314832188\， -312.1948946051628)","(-5.22923469543457\， -2.0912296772003174)"
"1007","[0.4152356684207916\， 0.5601930618286133\， 0.09501204639673233\， 0.20920082926750183]","1.0","[0.0\， -0.7853981852531433\， 0.0]","faces/f1007-0.json","Laurey","(603.7157581348855\， -161.75577971827983)","(43.291778564453125\， -17.014673233032227)"
"1017","[0.4178592562675476\， 0.4671386480331421\， 0.13061094284057617\， 0.28758373856544495]","1.0","[0.0\， 0.0\， 0.0]","faces/f1017-0.json","Laurey","(-446.37559506181304\， 446.3468445379173)","(43.268402099609375\， -16.902938842773438)"
"1036","[0.8155490159988403\， 0.3981833755970001\， 0.09233976900577545\， 0.20331692695617676]","1.0","[0.0\， 0.0\， 0.0]","faces/f1036-0.json","N/A","(321.59612863333246\， 556.8587434222385)","(2.9615368843078613\， 5.204060077667236)"
"1039","[0.1576729416847229\， 0.4788898527622223\， 0.09068132191896439\， 0.19966529309749603]","1.0","[0.0\， 0.0\， 0.0]","faces/f1039-0.json","N/A","(-166.99709147171959\， 622.9169570583017)","(10.184513092041016\， 5.486011981964111)"
"1040","[0.4095909893512726\， 0.41480904817581177\， 0.14789268374443054\， 0.32563525438308716]","1.0","[0.0\， 0.0\， 0.0]","faces/f1040-0.json","Laurey","(-322.78122294231406\， 559.0130318773801)","(42.64071273803711\， -11.603116989135742)"
"1048","[0.2578160762786865\， 0.6342501640319824\， 0.07619387656450272\， 0.16776633262634277]","1.0","[0.0\， 0.0\， 0.0]","faces/f1048-0.json","Laurey","(-325.30192529127186\， -563.3010311482922)","(47.0337028503418\， -11.365018844604492)"
"1049","[0.4376230537891388\， 0.5677592158317566\， 0.08547476679086685\， 0.18820132315158844]","1.0","[0.0\， 0.7853981852531433\， 0.0]","faces/f1049-1.json","Laurey","(-168.53356698226077\， -628.9006964715682)","(42.98894500732422\， -9.673807144165039)"
"1050","[0.7860624194145203\， 0.6397932767868042\， 0.06834112107753754\， 0.1504758596420288]","1.0","[0.0\， 1.5707963705062866\， 1.0471975803375244]","faces/f1050-1.json","N/A","(0.07151560483159639\， -651.6891896118378)","(2.0938150882720947\， 6.986289978027344)"
"1050","[0.4932209849357605\， 0.5970141887664795\， 0.0865270271897316\， 0.19051823019981384]","1.0","[0.0\， 0.7853981852531433\， 0.5235987901687622]","faces/f1050-2.json","Laurey","(-0.001694753788093556\， -651.6998843838429)","(38.499961853027344\， -18.431629180908203)"
"1051","[0.6008064150810242\， 0.6152926683425903\， 0.08331252634525299\， 0.1834404319524765]","1.0","[0.0\， 0.0\， 0.0]","faces/f1051-0.json","Laurey","(168.86446695718496\， -630.0878934445253)","(45.95229721069336\， -25.650405883789062)"
"1055","[0.7140642404556274\， 0.6739738583564758\， 0.07744602113962173\， 0.17052336037158966]","1.0","[0.0\， -0.7853981852531433\， 0.0]","faces/f1055-2.json","Laurey","(632.5683933438785\， -169.4383571042987)","(35.191505432128906\， -20.158693313598633)"
"1056","[0.09920423477888107\， 0.5659937262535095\， 0.07326719164848328\， 0.16132225096225739]","1.0","[0.0\， 0.7853981852531433\， 0.0]","faces/f1056-1.json","N/A","(655.3480769207637\， 0.016498431574942657)","(6.013241767883301\， 8.04411792755127)"
"1056","[0.7503002882003784\， 0.6510985493659973\， 0.07361510396003723\， 0.1620883047580719]","1.0","[0.0\， 0.0\， 0.5235987901687622]","faces/f1056-2.json","Laurey","(655.510850934119\， 0.037774637353064605)","(36.11552429199219\， -14.986324310302734)"
