"Frame","Face Box","Confidence","Face Rotation","Path","Cluster","Position","T-SNE(FN512)"
Preserved,Preserved,Preserved,Preserved,Preserved,Preserved,Point,Point
"1000","[0.34058061242103577\， 0.5540046095848083\， 0.1345895230770111\， 0.18572178483009338]","1.0","[0.0\， 0.0\， 0.0]","faces/f1000-0.json","Zhanwu","(-312.53985484689895\， -541.2523762128754)","(-31.163467407226562\， -21.90974998474121)"
"1001","[0.3360655605792999\， 0.5412026047706604\， 0.11700323224067688\， 0.1614542454481125]","1.0","[0.0\， 0.7853981852531433\， 0.0]","faces/f1001-0.json","Zhanwu","(-161.9646487021193\， -604.2970444209059)","(-19.95275115966797\， -21.384506225585938)"
"1007","[0.4207315146923065\， 0.36637362837791443\， 0.2825583517551422\， 0.3899058401584625]","1.0","[0.0\， 0.7853981852531433\， 0.0]","faces/f1007-0.json","Village Leader","(607.9097497993547\， -162.92764310430735)","(-40.72483825683594\， 37.7056770324707)"
"1008","[0.42765751481056213\， 0.34832683205604553\， 0.29090455174446106\， 0.4014228582382202]","1.0","[0.0\， 0.0\， 0.0]","faces/f1008-0.json","Village Leader","(629.9819143787026\， -0.03791829198351661)","(-40.68968963623047\， 37.783145904541016)"
"1009","[0.45746681094169617\， 0.4740687310695648\， 0.15040554106235504\， 0.20754650235176086]","1.0","[0.0\， -0.7853981852531433\， 0.0]","faces/f1009-0.json","N/A","(609.126340906277\， 163.21127750055217)","(11.055583000183105\， -16.60255241394043)"
"1010","[0.6470106840133667\， 0.6772632002830505\， 0.12074702233076096\， 0.16662034392356873]","1.0","[0.0\， 0.7853981852531433\， 0.0]","faces/f1010-0.json","N/A","(546.7152888099415\， 315.6693158000512)","(19.256786346435547\， -16.115550994873047)"
"1014","[0.3069939911365509\， 0.5996096134185791\， 0.10117699950933456\， 0.13961541652679443]","1.0","[0.0\， -0.7853981852531433\， 0.0]","faces/f1014-0.json","N/A","(-0.04825150221493289\， 633.7749024033546)","(10.691825866699219\， -21.69439697265625)"
"1015","[0.3585721552371979\， 0.6384096145629883\， 0.10236736387014389\， 0.14125801622867584]","1.0","[0.0\， -0.7853981852531433\， 0.0]","faces/f1015-0.json","N/A","(-164.22368869810666\， 612.7937984557673)","(12.111233711242676\， -17.374317169189453)"
"1015","[0.7547337412834167\， 0.6347551345825195\， 0.10259867459535599\， 0.14157721400260925]","1.0","[0.0\， -0.7853981852531433\， 0.0]","faces/f1015-1.json","Zhanwu","(-164.1246483015951\， 612.7928848357722)","(-17.546030044555664\， -11.767278671264648)"
"1016","[0.7001411318778992\， 0.6390397548675537\， 0.12659460306167603\， 0.17468950152397156]","1.0","[0.0\， -0.7853981852531433\， 0.0]","faces/f1016-0.json","Zhanwu","(-317.4499647170391\， 549.9608913418305)","(-21.32891273498535\， -16.97879981994629)"
"1016","[0.41054168343544006\， 0.6160369515419006\， 0.12765644490718842\， 0.1761547476053238]","1.0","[0.0\， 0.0\， 0.0]","faces/f1016-1.json","Village Leader","(-317.5223645791497\， 549.955140640999)","(-35.28968048095703\， 42.71635437011719)"
"1017","[0.42616721987724304\， 0.6396048665046692\， 0.11489567905664444\， 0.15854600071907043]","1.0","[0.0\， 0.0\， 0.0]","faces/f1017-0.json","Village Leader","(-449.4732059867153\， 449.48964900834005)","(-31.92991065979004\， 37.1981315612793)"
"1017","[0.720282256603241\， 0.6493489742279053\， 0.11597133427858353\， 0.1600303202867508]","1.0","[0.0\， -0.7853981852531433\， 0.0]","faces/f1017-1.json","N/A","(-449.3996772275338\， 449.49208503527086)","(-3.8581931591033936\， -18.339710235595703)"
"1018","[0.7122029066085815\， 0.64429771900177\， 0.12870295345783234\， 0.17759884893894196]","1.0","[0.0\， -0.7853981852531433\， 0.0]","faces/f1018-0.json","Zhanwu","(-550.9556124311893\， 318.16107442976363)","(-24.374855041503906\， -24.022506713867188)"
"1018","[0.42785489559173584\， 0.6413038969039917\， 0.1129395067691803\， 0.15584665536880493]","1.0","[0.0\， 0.7853981852531433\， 0.0]","faces/f1018-1.json","N/A","(-551.0266994339435\， 318.1603259742392)","(14.33756160736084\， -18.112773895263672)"
"1023","[0.560122549533844\， 0.6644847393035889\， 0.10347060859203339\， 0.14278040826320648]","1.0","[0.0\， 0.7853981852531433\， 0.0]","faces/f1023-0.json","N/A","(-452.0913675837568\， -452.06527703633145)","(19.44811248779297\， -16.51709747314453)"
"1024","[0.43493714928627014\， 0.6176183819770813\， 0.11965807527303696\， 0.16511769592761993]","1.0","[0.0\， -0.7853981852531433\， 0.0]","faces/f1024-0.json","N/A","(-320.0162657126947\， -554.2268538265371)","(3.466531276702881\， 1.464712142944336)"
"1025","[0.5656641125679016\， 0.5247520804405212\， 0.18937642872333527\， 0.261322945356369]","1.0","[0.0\， 0.7853981852531433\， 0.0]","faces/f1025-0.json","Village Leader","(-165.78953474067328\， -618.7900444463207)","(-33.81828308105469\， 39.396583557128906)"
"1026","[0.1693674623966217\， 0.2762407064437866\， 0.22688354551792145\， 0.31307947635650635]","1.0","[0.0\， -0.7853981852531433\， 0.0]","faces/f1026-0.json","N/A","(-0.08265813440869801\， -641.305939823389)","(-5.394952297210693\， 10.257882118225098)"
"1027","[0.28711119294166565\， 0.4001028537750244\， 0.314961314201355\， 0.43461909890174866]","1.0","[0.0\， -0.7853981852531433\， 0.0]","faces/f1027-0.json","Zhanwu","(166.07625237341367\， -620.0286140358526)","(-27.26385498046875\， -30.386070251464844)"
"1028","[0.33353081345558167\， 0.32205548882484436\， 0.322004109621048\， 0.44433754682540894]","1.0","[0.0\， 0.0\， 0.0]","faces/f1028-0.json","Zhanwu","(321.2083827033666\， -556.465808059294)","(-30.226049423217773\， -29.731332778930664)"
"1029","[0.282804936170578\， 0.33378374576568604\， 0.3336485028266907\， 0.46040579676628113]","1.0","[0.0\， 0.0\， 0.0]","faces/f1029-0.json","Zhanwu","(454.7037498846213\， -454.7996027141767)","(-28.599729537963867\， -34.94695281982422)"
"1030","[0.3265482783317566\， 0.3749975562095642\， 0.2958388328552246\， 0.4082317352294922]","1.0","[0.0\， 0.0\， 0.0]","faces/f1030-0.json","Village Leader","(557.4604907558224\， -321.90625061093533)","(-38.009185791015625\， 37.73129653930664)"
"1031","[0.3226177394390106\， 0.3517899215221405\， 0.31280994415283203\， 0.43165042996406555]","1.0","[0.0\， -0.7853981852531433\， 0.0]","faces/f1031-0.json","Zhanwu","(622.3741087498738\， -166.81357470757263)","(-28.587291717529297\， -35.9207763671875)"
"1032","[0.27158239483833313\， 0.2393418699502945\， 0.38056546449661255\， 0.5251470804214478]","1.0","[0.0\， 0.0\， 0.0]","faces/f1032-0.json","Village Leader","(644.9428955987096\， -0.0651645325238025)","(-38.927513122558594\， 37.541015625)"
"1033","[0.3162817060947418\， 0.21477432548999786\， 0.3776962459087372\， 0.5211878418922424]","1.0","[0.0\， 0.0\， 0.0]","faces/f1033-0.json","Village Leader","(623.5799320244049\， 167.0287395756818)","(-40.7175178527832\， 35.461822509765625)"
"1034","[0.28800535202026367\， 0.20267489552497864\， 0.40409600734710693\， 0.5576171875]","1.0","[0.0\， 0.0\， 0.0]","faces/f1034-0.json","Village Leader","(559.6159185336987\， 323.05066872388096)","(-39.59925842285156\， 37.230712890625)"
"1035","[0.30056577920913696\， 0.2021501213312149\， 0.3838641941547394\， 0.5296990871429443]","1.0","[0.0\， 0.0\， 0.0]","faces/f1035-0.json","Village Leader","(457.3598405248465\， 457.3352366103844)","(-40.68732833862305\， 35.83299255371094)"
"1036","[0.24439935386180878\， 0.29730337858200073\， 0.3711491823196411\， 0.5121534466743469]","1.0","[0.0\， 0.0\， 0.0]","faces/f1036-0.json","Zhanwu","(323.686099838488\， 560.7007747950565)","(-27.226106643676758\， -32.476478576660156)"
"1037","[0.2886298894882202\， 0.30405619740486145\， 0.35822173953056335\， 0.4943147301673889]","1.0","[0.0\， 0.0\， 0.0]","faces/f1037-0.json","Zhanwu","(167.69425107942752\， 625.9916902129579)","(-26.947643280029297\， -33.012451171875)"
"1038","[0.4017414152622223\， 0.2644278109073639\， 0.33876439929008484\， 0.4674653112888336]","1.0","[0.0\， 0.0\， 0.0]","faces/f1038-0.json","Zhanwu","(-0.02456464616950521\， 648.6911069527268)","(-28.898874282836914\， -28.521081924438477)"
"1039","[0.30426305532455444\， 0.4763774573802948\， 0.3039664030075073\， 0.4194470942020416]","1.0","[0.0\， 0.0\， 0.0]","faces/f1039-0.json","Village Leader","(-168.1195516496092\， 627.2421778108112)","(-39.08606719970703\， 38.550724029541016)"
"1040","[0.27592363953590393\， 0.4226020276546478\， 0.29976677894592285\， 0.4136519730091095]","1.0","[0.0\， 0.0\， 0.0]","faces/f1040-0.json","Village Leader","(-325.0560190901127\， 562.8971629668007)","(-39.0018424987793\， 37.663639068603516)"
"1046","[0.8051231503486633\， 0.701545000076294\， 0.10612692683935165\， 0.14644590020179749]","1.0","[0.0\， -1.5707963705062866\， 0.0]","faces/f1046-0.json","N/A","(-566.0878269364932\， -326.82461374997456)","(19.561872482299805\， -15.017151832580566)"
