"Frame","Face Box","Confidence","Face Rotation","Path","Cluster","Position","T-SNE(FN512)"
Preserved,Preserved,Preserved,Preserved,Preserved,Preserved,Point,Point
"1000","[0.302948534488678\， 0.5154203772544861\， 0.14573891460895538\， 0.19411614537239075]","1.0","[0.0\， 0.7853981852531433\， 0.0]","faces/f1000-0.json","David","(-309.8318715620342\， -536.5553624677818)","(-26.628965377807617\， 14.012565612792969)"
"1000","[0.5861818790435791\， 0.4546661376953125\， 0.16113562881946564\， 0.21462370455265045]","1.0","[0.0\， -0.7853981852531433\， 0.0]","faces/f1000-1.json","N/A","(-309.7610632258955\， -536.5705510276716)","(-20.695009231567383\， -17.674789428710938)"
"1001","[0.2971811294555664\， 0.5213126540184021\， 0.14259736239910126\， 0.18993176519870758]","1.0","[0.0\， 0.7853981852531433\， 0.5235987901687622]","faces/f1001-0.json","David","(-160.5663379395327\， -599.0471704297061)","(-26.729860305786133\， 14.018439292907715)"
"1001","[0.5803790092468262\， 0.43712374567985535\， 0.17227473855018616\， 0.22946037352085114]","1.0","[0.0\， -0.7853981852531433\， -0.5235987901687622]","faces/f1001-1.json","N/A","(-160.4955384695849\， -599.0682176567907)","(-21.25005340576172\， -18.506731033325195)"
"1004","[0.5277209281921387\， 0.6458584070205688\， 0.10148131102323532\， 0.1351674646139145]","1.0","[0.0\， -1.5707963705062866\， 0.0]","faces/f1004-1.json","Thomas Fairchild","(311.028669362497\， -538.6689898305829)","(-11.4176025390625\， 43.46363067626953)"
"1005","[0.4825848937034607\， 0.5316488742828369\， 0.129352867603302\， 0.1722908318042755]","1.0","[0.0\， -0.7853981852531433\， 0.0]","faces/f1005-1.json","Thomas Fairchild","(440.28490666114857\， -440.28134821917126)","(-13.232117652893066\， 44.60487747192383)"
"1006","[0.4687783420085907\， 0.5341694951057434\， 0.1455540955066681\， 0.19386997818946838]","1.0","[0.0\， -0.7853981852531433\， 0.0]","faces/f1006-0.json","Thomas Fairchild","(539.7707674529685\， -311.63276197405673)","(-13.560516357421875\， 44.51235580444336)"
"1007","[0.38301196694374084\， 0.5445353388786316\， 0.14859221875667572\， 0.19791658222675323]","1.0","[0.0\， -0.7853981852531433\， 0.0]","faces/f1007-0.json","Thomas Fairchild","(602.6139758522377\， -161.4666310548439)","(-12.438262939453125\， 44.52162170410156)"
"1009","[0.2530026137828827\， 0.3645963966846466\， 0.14356984198093414\， 0.1912270486354828]","1.0","[0.0\， 0.0\， -0.5235987901687622]","faces/f1009-0.json","Sabrina","(603.7783816030435\， 161.76462454462734)","(33.709842681884766\， -15.964476585388184)"
"1009","[0.6634758710861206\， 0.5158520340919495\， 0.14220766723155975\， 0.18941271305084229]","1.0","[0.0\， -0.7853981852531433\， 0.0]","faces/f1009-1.json","N/A","(603.8809999173693\， 161.80243845397916)","(-12.763531684875488\， 8.789539337158203)"
"101","[0.25371766090393066\， 0.3381771445274353\， 0.24329102039337158\， 0.3240501284599304]","1.0","[0.0\， 0.0\， 0.0]","faces/f101-0.json","Sabrina","(16.134312487565285\， 60.40340278554669)","(50.41004180908203\， -9.954341888427734)"
"1010","[0.25057452917099\， 0.4164195656776428\， 0.11989457160234451\， 0.1596929132938385]","1.0","[0.0\， 0.7853981852531433\， 0.0]","faces/f1010-0.json","N/A","(541.8624533700228\， 312.8595396740087)","(19.412918090820312\， 4.49953031539917)"
"1010","[0.550746738910675\， 0.46866244077682495\， 0.14997045695781708\， 0.1997523158788681]","1.0","[0.0\， 1.5707963705062866\， 0.0]","faces/f1010-1.json","Thomas Fairchild","(541.9374964224577\， 312.8726003927835)","(-8.078765869140625\， 44.277462005615234)"
"1011","[0.6153892874717712\， 0.45514366030693054\， 0.17667102813720703\， 0.23531600832939148]","1.0","[0.0\， 0.0\， 0.0]","faces/f1011-0.json","Thomas Fairchild","(442.94670035924054\， 442.9066389524253)","(-14.035637855529785\， 45.63303756713867)"
"1011","[0.20238888263702393\， 0.4129767417907715\， 0.12869346141815186\， 0.17141252756118774]","1.0","[0.0\， 0.7853981852531433\， 0.0]","faces/f1011-1.json","N/A","(442.84345025803185\， 442.89609722279624)","(28.181312561035156\， 9.809101104736328)"
"1012","[0.6801421642303467\， 0.5014030337333679\， 0.13930350542068481\， 0.18554452061653137]","1.0","[0.0\， 0.0\， 0.0]","faces/f1012-0.json","Thomas Fairchild","(313.5450355410677\， 542.9982789312705)","(-14.90407943725586\， 42.85478973388672)"
"1012","[0.21465714275836945\， 0.4279113709926605\， 0.13229478895664215\， 0.17620931565761566]","1.0","[0.0\， 0.7853981852531433\， 0.0]","faces/f1012-1.json","N/A","(313.4286642856997\， 542.9799060155854)","(28.23223304748535\， 10.191999435424805)"
"1013","[0.7252021431922913\， 0.4802742004394531\， 0.13723060488700867\， 0.18278354406356812]","1.0","[0.0\， 0.0\， 0.0]","faces/f1013-0.json","Thomas Fairchild","(162.49619709302863\， 606.2290156779027)","(-15.091524124145508\， 42.002532958984375)"
