"Frame","Face Box","Confidence","Face Rotation","Path","Cluster","Position","T-SNE(FN512)"
Preserved,Preserved,Preserved,Preserved,Preserved,Preserved,Point,Point
"100","[0.3200795650482178\， 0.5955705642700195\， 0.08493248373270035\， 0.2167547643184662]","1.0","[0.0\， -0.7853981852531433\， 0.0]","faces/f100-0.json","N/A","(0.0\， 0.0)","(-10.704083442687988\， 11.474981307983398)"
"1009","[0.5963567495346069\， 0.6319380402565002\， 0.0663825124502182\， 0.1694137156009674]","1.0","[0.0\， 0.0\， -0.5235987901687622]","faces/f1009-0.json","N/A","(0.0\， 0.0)","(-1.582661747932434\， -0.9355797171592712)"
"101","[0.3217580020427704\， 0.47286733984947205\， 0.08704245835542679\， 0.2221396118402481]","1.0","[0.0\， -0.7853981852531433\， 0.5235987901687622]","faces/f101-0.json","N/A","(0.0\， 0.0)","(0.32639747858047485\， -3.0282938480377197)"
"1010","[0.6257560849189758\， 0.6381024122238159\， 0.06229378283023834\， 0.1589789241552353]","1.0","[0.0\， 0.0\， 0.0]","faces/f1010-0.json","Tom","(0.0\， 0.0)","(-24.91534423828125\， 30.706876754760742)"
"1011","[0.6406365036964417\， 0.6533716320991516\， 0.06847026944160461\， 0.17474181950092316]","1.0","[0.0\， 0.0\， 0.0]","faces/f1011-0.json","Tom","(0.0\， 0.0)","(-23.92422866821289\， 31.967918395996094)"
"1012","[0.5840586423873901\， 0.6194270849227905\， 0.0659322440624237\， 0.16826458275318146]","1.0","[0.0\， 0.0\， 0.0]","faces/f1012-0.json","Tom","(0.0\， 0.0)","(-24.387235641479492\， 31.060016632080078)"
"1013","[0.5956380367279053\， 0.6247650980949402\， 0.06522402912378311\， 0.1664571613073349]","1.0","[0.0\， 0.0\， 0.0]","faces/f1013-0.json","Tom","(0.0\， 0.0)","(-25.314115524291992\， 32.78879165649414)"
"1014","[0.4737217128276825\， 0.5178173780441284\， 0.0805208757519722\， 0.20549598336219788]","1.0","[0.0\， -0.7853981852531433\， 0.5235987901687622]","faces/f1014-0.json","Will","(0.0\， 0.0)","(-37.19533920288086\， 0.2867802083492279)"
"1015","[0.5938940048217773\， 0.6370469927787781\， 0.06718552112579346\， 0.1714630424976349]","1.0","[0.0\， 0.0\， 0.0]","faces/f1015-0.json","Tom","(0.0\， 0.0)","(-24.05902862548828\， 32.81602478027344)"
"1016","[0.5948481559753418\， 0.6137620806694031\， 0.06658849865198135\， 0.16993941366672516]","1.0","[0.0\， 0.0\， 0.0]","faces/f1016-0.json","Tom","(0.0\， 0.0)","(-24.707271575927734\， 32.64623260498047)"
"1017","[0.4708997309207916\， 0.5162811875343323\， 0.07972738146781921\， 0.20347093045711517]","1.0","[0.0\， -0.7853981852531433\， 0.0]","faces/f1017-0.json","Will","(0.0\， 0.0)","(-36.744964599609375\， 0.033072322607040405)"
"1018","[0.4672066271305084\， 0.5385369658470154\， 0.08216843754053116\， 0.20970068871974945]","1.0","[0.0\， -0.7853981852531433\， 0.0]","faces/f1018-0.json","Will","(0.0\， 0.0)","(-36.701988220214844\， 0.9636877775192261)"
"1019","[0.6129777431488037\， 0.5961341857910156\， 0.06696051359176636\， 0.17088881134986877]","1.0","[0.0\， 0.0\， 0.0]","faces/f1019-0.json","Tom","(0.0\， 0.0)","(-23.15041732788086\， 30.208736419677734)"
"102","[0.488717257976532\， 0.1650407612323761\， 0.1800418347120285\， 0.45948174595832825]","1.0","[0.0\， -0.7853981852531433\， 0.0]","faces/f102-0.json","Will","(0.0\， 0.0)","(-25.206323623657227\， 12.392311096191406)"
"1020","[0.6678597331047058\， 0.6473070383071899\， 0.06637181341648102\， 0.16938640177249908]","1.0","[0.0\， 0.0\， -0.5235987901687622]","faces/f1020-0.json","Tom","(0.0\， 0.0)","(-20.874008178710938\， 30.85588836669922)"
"1021","[0.667949378490448\， 0.6394962668418884\， 0.06340762227773666\， 0.16182154417037964]","1.0","[0.0\， 0.0\， -0.5235987901687622]","faces/f1021-0.json","Tom","(0.0\， 0.0)","(-20.350141525268555\， 29.72344398498535)"
"1022","[0.6480544209480286\， 0.6509327292442322\， 0.06649141758680344\， 0.16969163715839386]","1.0","[0.0\， 0.0\， -0.5235987901687622]","faces/f1022-0.json","Tom","(0.0\， 0.0)","(-20.49614715576172\， 29.911664962768555)"
"1023","[0.4723815619945526\， 0.5233201384544373\， 0.08106841146945953\， 0.20689335465431213]","1.0","[0.0\， -0.7853981852531433\， 0.5235987901687622]","faces/f1023-0.json","Will","(0.0\， 0.0)","(-37.12070846557617\， -0.937073826789856)"
"1024","[0.4703556001186371\， 0.52360999584198\， 0.08668967336416245\， 0.22123926877975464]","1.0","[0.0\， 0.0\， 0.5235987901687622]","faces/f1024-0.json","Will","(0.0\， 0.0)","(-36.4420166015625\， -1.2423545122146606)"
"1025","[0.6312414407730103\， 0.6670141816139221\， 0.06751397997140884\， 0.1723013073205948]","1.0","[0.0\， 0.0\， -0.5235987901687622]","faces/f1025-0.json","Tom","(0.0\， 0.0)","(-21.928321838378906\， 31.610820770263672)"
