"Frame","Face Box","Confidence","Face Rotation","Path","Cluster","Position","T-SNE(FN512)"
Preserved,Preserved,Preserved,Preserved,Preserved,Preserved,Point,Point
"1001","[0.3742874264717102\， 0.640367329120636\， 0.06490333378314972\， 0.15070773661136627]","1.0","[0.0\， 0.0\， 0.0]","faces/f1001-0.json","N/A","(-161.9550932356462\， -604.2722532398184)","(-2.5008816719055176\， 8.110114097595215)"
"1008","[0.3126991391181946\， 0.5581547617912292\， 0.10443398356437683\， 0.2424992471933365]","1.0","[0.0\， -0.7853981852531433\， 0.0]","faces/f1008-0.json","Morgana","(629.9531747847795\， 0.014538690450279307)","(-43.760780334472656\， -22.36345672607422)"
"1008","[0.5072554349899292\， 0.4747840464115143\， 0.09664280712604523\， 0.2244078665971756]","1.0","[0.0\， -0.7853981852531433\， 0.0]","faces/f1008-1.json","Bridget","(630.0018138587475\， -0.006303988394649421)","(-47.385887145996094\， 2.3146774768829346)"
"101","[0.4064881503582001\， 0.48421815037727356\， 0.07006333768367767\， 0.1626894474029541]","1.0","[0.0\， 0.7853981852531433\， 0.0]","faces/f101-1.json","Enid","(16.314574259686218\， 60.97012232209174)","(-21.580469131469727\， -36.985076904296875)"
"1013","[0.45899298787117004\， 0.2201666682958603\， 0.08993570506572723\， 0.20883376896381378]","1.0","[0.0\， 0.0\， 2.094395160675049]","faces/f1013-0.json","N/A","(163.8545561775074\， 611.4818304363387)","(-11.468271255493164\， -1.1189947128295898)"
"1016","[0.4167233109474182\， 0.5340706706047058\， 0.10987748950719833\， 0.2551392614841461]","1.0","[0.0\， 0.0\， 0.0]","faces/f1016-0.json","Morgana","(-317.52081917227173\， 549.9346490707647)","(-39.94144821166992\， -22.213924407958984)"
"1016","[0.6306576728820801\， 0.44489216804504395\， 0.10061560571193695\， 0.23363284766674042]","1.0","[0.0\， 0.0\， 0.0]","faces/f1016-1.json","Bridget","(-317.46733558178806\， 549.9123544451248)","(-46.23872756958008\， 4.707027435302734)"
"1018","[0.30280259251594543\， 0.10124147683382034\， 0.10258027166128159\， 0.23819486796855927]","1.0","[0.0\， 0.0\， 0.0]","faces/f1018-0.json","Morgana","(-551.0579625097124\， 318.02531036922164)","(-23.50315284729004\， -16.00328254699707)"
"102","[0.39789870381355286\， 0.5043732523918152\， 0.06859952211380005\， 0.15929041802883148]","1.0","[0.0\， -0.7853981852531433\， 0.0]","faces/f102-0.json","Enid","(-0.02552532404643218\， 63.751093313097954)","(-19.670530319213867\， -35.81162643432617)"
"102","[0.2186700999736786\， 0.56280118227005\， 0.07239607721567154\， 0.16810615360736847]","1.0","[0.0\， 0.7853981852531433\， 0.0]","faces/f102-1.json","N/A","(-0.07033247500640075\， 63.76570029556751)","(0.12150844931602478\， -12.69127082824707)"
"1025","[0.4494170546531677\， 0.49425527453422546\， 0.075840063393116\， 0.17610320448875427]","1.0","[0.0\， 0.7853981852531433\， 0.0]","faces/f1025-0.json","Morgana","(-165.81859650515196\， -618.7976686477973)","(-28.040000915527344\， -11.62983512878418)"
"1029","[0.32929009199142456\， 0.29317161440849304\， 0.07795671373605728\， 0.1810181438922882]","1.0","[0.0\， 0.7853981852531433\， 0.0]","faces/f1029-0.json","N/A","(454.7153711735765\， -454.80975574701597)","(-13.178191184997559\， -0.2631816864013672)"
"103","[0.22329266369342804\， 0.6203224062919617\， 0.07049135863780975\， 0.16368332505226135]","1.0","[0.0\， 0.7853981852531433\， 0.0]","faces/f103-0.json","N/A","(-16.730652862551334\， 62.21155566893179)","(2.6969380378723145\， 15.687516212463379)"
"103","[0.42633917927742004\， 0.507035493850708\， 0.07177549600601196\， 0.16666513681411743]","1.0","[0.0\， 0.0\， 0.0]","faces/f103-1.json","Enid","(-16.679891233655336\， 62.183233940821474)","(-20.07169532775879\， -39.042236328125)"
"1032","[0.3934937119483948\， 0.5099583864212036\， 0.10753151029348373\， 0.24969181418418884]","1.0","[0.0\， 0.7853981852531433\， 0.0]","faces/f1032-0.json","Morgana","(644.9733734279871\， 0.002489596593924781)","(-43.540122985839844\， -24.247459411621094)"
"1033","[0.41984206438064575\， 0.7134548425674438\， 0.0956319272518158\， 0.22206059098243713]","1.0","[0.0\， 0.0\， -0.5235987901687622]","faces/f1033-0.json","N/A","(623.6058221139764\， 167.15340970495117)","(4.62844705581665\， 24.059648513793945)"
"1033","[0.34585148096084595\， 0.49998700618743896\， 0.10230561345815659\， 0.23755709826946259]","1.0","[0.0\， 0.7853981852531433\， 0.5235987901687622]","faces/f1033-1.json","Morgana","(623.5873244681214\， 167.10004274585617)","(-43.63961410522461\， -23.851106643676758)"
"1034","[0.33721932768821716\， 0.502997875213623\， 0.10444574058055878\， 0.2425265610218048]","1.0","[0.0\， 0.7853981852531433\， 0.5235987901687622]","faces/f1034-0.json","Morgana","(559.6282220276157\， 323.1257494688031)","(-43.23408126831055\， -23.76239585876465)"
"1036","[0.446181982755661\， 0.48095354437828064\， 0.10361576825380325\， 0.24059933423995972]","1.0","[0.0\， -0.7853981852531433\， 0.0]","faces/f1036-0.json","Einar","(323.7365454957115\， 560.7466873365056)","(42.50584030151367\， -4.661485195159912)"
"1038","[0.5109111070632935\， 0.4037264287471771\， 0.1309407651424408\， 0.30404889583587646]","1.0","[0.0\， -0.7853981852531433\， 0.0]","faces/f1038-0.json","Einar","(0.002727776780762581\， 648.7259316071868)","(41.739830017089844\， -4.58138370513916)"
"1038","[0.1172410398721695\， 0.5445007681846619\， 0.11040547490119934\， 0.25636526942253113]","1.0","[0.0\， 1.5707963705062866\， 0.0]","faces/f1038-1.json","N/A","(-0.09568974001701841\， 648.7611251920462)","(-0.7152163982391357\， -16.838682174682617)"
"1039","[0.3590240776538849\， 0.7481898069381714\， 0.10611481964588165\， 0.24640221893787384]","1.0","[0.0\， 0.0\， 0.0]","faces/f1039-0.json","N/A","(-168.10586139402687\， 627.3101308982007)","(5.101200103759766\， 24.578632354736328)"
"1039","[0.41033872961997986\， 0.34190911054611206\， 0.18481352925300598\， 0.4291432797908783]","1.0","[0.0\， -0.7853981852531433\， 0.0]","faces/f1039-1.json","Einar","(-168.09303273103535\， 627.2085607241027)","(31.051755905151367\， -6.107499122619629)"
"104","[0.416905015707016\， 0.4657224714756012\， 0.0744921937584877\， 0.1729733943939209]","1.0","[0.0\， 0.0\， 0.0]","faces/f104-0.json","Enid","(-32.52077374607325\， 56.28308186385741)","(-20.74888038635254\， -39.010032653808594)"
"104","[0.23871579766273499\， 0.6013972163200378\， 0.08024835586547852\， 0.18633940815925598]","1.0","[0.0\， 0.7853981852531433\， 0.0]","faces/f104-1.json","N/A","(-32.56532105058432\， 56.31700055006852)","(2.7421793937683105\， 15.802119255065918)"
"1040","[0.3604603707790375\， 0.1956631988286972\， 0.15878117084503174\， 0.36869528889656067]","1.0","[0.0\， 0.0\， 0.5235987901687622]","faces/f1040-0.json","Morgana","(-325.03488490730194\， 562.8404282595942)","(-44.638671875\， -22.966142654418945)"
"1041","[0.5920471549034119\， 0.6163054704666138\， 0.14291295409202576\， 0.33184874057769775]","1.0","[0.0\， 0.7853981852531433\， -0.5235987901687622]","faces/f1041-0.json","N/A","(-460.0383377207729\， 460.0904258771129)","(-4.702633380889893\， -10.599506378173828)"
"1042","[0.19227223098278046\， 0.719601035118103\， 0.11289799958467484\， 0.2621529698371887]","1.0","[0.0\， 0.7853981852531433\， 0.0]","faces/f1042-0.json","N/A","(-564.0759761568736\， 325.67990025877316)","(5.142293930053711\， 24.595691680908203)"
"1042","[0.40350210666656494\， 0.44343364238739014\， 0.11323593556880951\， 0.26293766498565674]","1.0","[0.0\， 0.7853981852531433\， 0.0]","faces/f1042-1.json","Einar","(-564.0231686879526\， 325.6108584105905)","(34.299400329589844\， -7.318500518798828)"
"1043","[0.14957284927368164\， 0.7669847011566162\， 0.10141663253307343\， 0.23549287021160126]","1.0","[0.0\， 0.0\， 0.0]","faces/f1043-0.json","N/A","(-629.7505047998618\， 168.78441120151817)","(13.462733268737793\， 14.734082221984863)"
"1044","[0.4448881149291992\， 0.4143121540546417\， 0.12104044109582901\， 0.28106001019477844]","1.0","[0.0\， 0.0\， 0.0]","faces/f1044-0.json","Einar","(-652.5137779712677\， -0.021421961467796832)","(43.36094665527344\， -4.777673244476318)"
"1045","[0.3744833767414093\， 0.33019185066223145\， 0.11632800847291946\， 0.2701175808906555]","1.0","[0.0\， 0.7853981852531433\， 0.5235987901687622]","faces/f1045-0.json","Morgana","(-630.9016844508657\， -169.0836408699058)","(-44.18101501464844\， -25.15458869934082)"
"1046","[0.4407165050506592\， 0.4316808879375458\， 0.14208818972110748\， 0.3299335837364197]","1.0","[0.0\， 0.0\， 0.0]","faces/f1046-0.json","Einar","(-566.1789285978177\， -326.89207977800925)","(44.167564392089844\， -6.011185169219971)"
"1046","[0.05318497121334076\， 0.5740294456481934\， 0.1274842470884323\， 0.2960227429866791]","1.0","[0.0\， 0.7853981852531433\， -1.0471975803375244]","faces/f1046-1.json","N/A","(-566.2758114812771\， -326.8564926385816)","(-9.588769912719727\， 9.129415512084961)"
"1047","[0.40635406970977783\， 0.386612206697464\， 0.13505126535892487\， 0.3135935962200165]","1.0","[0.0\， 0.0\， 0.0]","faces/f1047-0.json","Einar","(-462.73641142152087\， -462.74134688727145)","(43.28043746948242\， -3.379314661026001)"
"1048","[0.4393213391304016\， 0.32757070660591125\， 0.1207578107714653\， 0.280403733253479]","1.0","[0.0\， 0.0\， 0.0]","faces/f1048-0.json","Einar","(-327.51516966521405\， -567.2897468021578)","(33.65827178955078\， -4.392401218414307)"
"1049","[0.38892045617103577\， 0.3997994065284729\， 0.10289409011602402\， 0.2389235645532608]","1.0","[0.0\， 0.7853981852531433\， 0.5235987901687622]","faces/f1049-0.json","Morgana","(-169.71600633128827\， -633.3101700091407)","(-39.343475341796875\， -14.031886100769043)"
"1049","[0.3709867596626282\， 0.7743269205093384\， 0.09401057660579681\， 0.21829575300216675]","1.0","[0.0\， 0.0\， 0.0]","faces/f1049-1.json","N/A","(-169.72048975541537\， -633.2165381306455)","(-11.61581802368164\， 0.7168600559234619)"
"105","[0.49156805872917175\， 0.46445536613464355\， 0.07606107741594315\， 0.17661640048027039]","1.0","[0.0\， 0.0\， 0.0]","faces/f105-0.json","Enid","(-46.405990500684965\， 46.39499635690076)","(-21.57418441772461\， -38.31806182861328)"
"105","[0.3088819980621338\， 0.5874822735786438\， 0.07537362724542618\， 0.17502011358737946]","1.0","[0.0\， 0.7853981852531433\， 0.0]","faces/f105-1.json","N/A","(-46.451662015851724\， 46.42575308376176)","(3.2480993270874023\， 0.8245216608047485)"
"1050","[0.04719312861561775\， 0.2934750020503998\， 0.08410525321960449\， 0.19529524445533752]","1.0","[0.0\， 0.0\， 0.5235987901687622]","faces/f1050-2.json","N/A","(-0.11320171786828226\， -656.3016312494874)","(-6.633053779602051\， -13.124945640563965)"
"1052","[0.5152261853218079\， 0.6642805337905884\， 0.07449305802583694\， 0.17297540605068207]","1.0","[0.0\， -0.7853981852531433\， 0.0]","faces/f1052-0.json","Morgana","(328.75380654632096\， -569.3706328548262)","(-25.073457717895508\， -19.848901748657227)"
"1053","[0.4726351797580719\， 0.6611303687095642\， 0.08711420744657516\， 0.2022821456193924]","1.0","[0.0\， 0.0\， 0.0]","faces/f1053-0.json","Einar","(465.3578091633323\， -465.32436777622297)","(53.03535079956055\， -14.181153297424316)"
"1054","[0.43348902463912964\， 0.5228228569030762\， 0.09088640660047531\， 0.21104131639003754]","1.0","[0.0\， 0.0\， 0.0]","faces/f1054-0.json","Einar","(570.477606999159\， -329.36929428577395)","(52.898231506347656\， -14.339000701904297)"
"106","[0.6165133118629456\， 0.47486111521720886\， 0.06981860846281052\， 0.16212117671966553]","1.0","[0.0\， 0.0\， 0.0]","faces/f106-0.json","Enid","(-57.34505467275331\， 33.11871527880433)","(-21.66585922241211\， -38.01307678222656)"
"106","[0.40351343154907227\， 0.5913806557655334\， 0.07004430145025253\， 0.16264523565769196]","1.0","[0.0\， 0.7853981852531433\， 0.0]","faces/f106-1.json","N/A","(-57.398304642831775\， 33.14784516394141)","(2.579787015914917\， 13.557172775268555)"
"107","[0.47756853699684143\， 0.6118841767311096\， 0.06830157339572906\， 0.15859855711460114]","1.0","[0.0\， 0.7853981852531433\， 0.0]","faces/f107-0.json","N/A","(-64.60189749883219\， 17.336494685414017)","(3.106843948364258\， 13.2015962600708)"
"1071","[0.2969605326652527\， 0.6564803719520569\， 0.0690600723028183\， 0.16035982966423035]","1.0","[0.0\， 0.7853981852531433\， 0.0]","faces/f1071-0.json","N/A","(-473.3703615235904\， -473.28048156374575)","(-14.886429786682129\， -16.602399826049805)"
"108","[0.6653023362159729\， 0.49663347005844116\， 0.0647844672203064\， 0.15043173730373383]","1.0","[0.0\， 0.7853981852531433\， 0.0]","faces/f108-0.json","Enid","(-67.458674415946\， -0.0008416324853153107)","(-20.45883560180664\， -38.3033447265625)"
"108","[0.47862082719802856\， 0.6068747043609619\， 0.07286785542964935\， 0.16920162737369537]","1.0","[0.0\， 0.7853981852531433\， 0.0]","faces/f108-1.json","N/A","(-67.50534479320049\， 0.026718676090314863)","(4.036490440368652\， 13.888303756713867)"
"1083","[0.508675754070282\， 0.5149797797203064\， 0.07036718726158142\， 0.1633949875831604]","1.0","[0.0\， 0.0\， 0.0]","faces/f1083-0.json","Ragnar","(478.62507145417874\， 478.62664746055765)","(2.8140780925750732\， 50.6733512878418)"
"1084","[0.2045866847038269\， 0.7176895141601562\， 0.06655804812908173\， 0.15455004572868347]","1.0","[0.0\， 0.0\， 0.0]","faces/f1084-0.json","Egbert","(338.6761466711915\， 586.7866334424882)","(32.17770004272461\， 26.511484146118164)"
