"Frame","Face Box","Confidence","Face Rotation","Path","Cluster","Position","T-SNE(FN512)"
Preserved,Preserved,Preserved,Preserved,Preserved,Preserved,Point,Point
"1019","[0.7725837826728821\， 0.5540558099746704\， 0.10243646055459976\， 0.12804557383060455]","1.0","[0.0\， 0.0\， 0.0]","faces/f1019-0.json","N/A","(-610.1844725872368\， 163.53021026737366)","(36.26770782470703\， -21.886987686157227)"
"1020","[0.8219301700592041\， 0.5447146892547607\， 0.10290578007698059\， 0.12863223254680634]","1.0","[0.0\， 0.0\， 0.0]","faces/f1020-0.json","N/A","(-632.3195174574852\， 0.011178672318026411)","(36.14044952392578\， -22.011306762695312)"
"1026","[0.5866786241531372\， 0.40904590487480164\， 0.10054683685302734\， 0.12568354606628418]","1.0","[0.0\， -0.7853981852531433\， 0.0]","faces/f1026-1.json","N/A","(0.021669656030493673\， -636.1427385237813)","(18.34462547302246\， -17.4632625579834)"
"1027","[0.013607888482511044\， 0.4482704699039459\， 0.1078338623046875\， 0.13479232788085938]","1.0","[0.0\， 0.0\， 0.0]","faces/f1027-1.json","N/A","(164.67884075069745\， -615.056543013826)","(7.847036361694336\， 7.759052276611328)"
"1029","[0.18998508155345917\， 0.4655419588088989\， 0.10560163855552673\， 0.132002055644989]","1.0","[0.0\， 1.5707963705062866\， 0.0]","faces/f1029-2.json","N/A","(451.04248053176235\， -451.128598771711)","(10.285452842712402\， 7.029896259307861)"
"1031","[0.3841049075126648\， 0.5452009439468384\， 0.11413446068763733\， 0.14266806840896606]","1.0","[0.0\， 1.5707963705062866\， 0.0]","faces/f1031-0.json","N/A","(617.4101329073721\， -165.4310097744628)","(-19.86624526977539\， 1.9351286888122559)"
"1038","[0.45866715908050537\， 0.4354911148548126\， 0.10468804091215134\， 0.13086004555225372]","1.0","[0.0\， 0.0\， 0.0]","faces/f1038-2.json","N/A","(-0.010333210215053956\， 643.5438727787136)","(-18.322948455810547\， -17.411148071289062)"
"1038","[0.7067595720291138\， 0.46911847591400146\， 0.11463993787765503\， 0.1432999223470688]","1.0","[0.0\， -0.7853981852531433\， 0.0]","faces/f1038-3.json","N/A","(0.05168989302209814\， 643.5522796189784)","(3.8274269104003906\， -11.813384056091309)"
"1039","[0.11751066893339157\， 0.48706117272377014\， 0.10614942014217377\， 0.1326867789030075]","1.0","[0.0\， 0.0\， 0.0]","faces/f1039-0.json","N/A","(-166.82167480689947\， 622.2268640720753)","(28.479129791259766\， 17.78630828857422)"
"1039","[0.40712520480155945\， 0.48123031854629517\， 0.10290298610925674\， 0.12862873077392578]","1.0","[0.0\， -0.7853981852531433\， 0.0]","faces/f1039-1.json","N/A","(-166.74927117293242\， 622.2254063585309)","(-12.599030494689941\， -5.700871467590332)"
"1039","[0.6392940878868103\， 0.5065556764602661\， 0.1304497867822647\， 0.1630622297525406]","1.0","[0.0\， -0.7853981852531433\， 0.0]","faces/f1039-2.json","Professor","(-166.6912289521611\， 622.2317376980094)","(-46.6915283203125\， 45.599796295166016)"
"1040","[0.6498669385910034\， 0.5029933452606201\， 0.13585861027240753\， 0.16982325911521912]","1.0","[0.0\， -0.7853981852531433\， 0.0]","faces/f1040-0.json","Professor","(-322.36253326534893\， 558.413928696523)","(-42.64076232910156\， 45.303627014160156)"
"1040","[0.4088602662086487\， 0.4781779646873474\， 0.10581842064857483\， 0.13227301836013794]","1.0","[0.0\， -0.7853981852531433\， 0.0]","faces/f1040-1.json","N/A","(-322.4227849334445\， 558.4077248513797)","(-12.833465576171875\， -5.956394672393799)"
"1041","[0.09636480361223221\， 0.5147179365158081\， 0.1059504896402359\， 0.13243812322616577]","1.0","[0.0\， 0.0\， 0.0]","faces/f1041-0.json","N/A","(-456.48176751251964\， 456.38453819754926)","(1.1327489614486694\， -1.591889500617981)"
"1041","[0.6413623690605164\， 0.5165258049964905\， 0.12350182235240936\， 0.154377281665802]","1.0","[0.0\， -0.7853981852531433\， 0.0]","faces/f1041-2.json","Professor","(-456.34551812115757\， 456.38499016466943)","(-44.52845764160156\， 45.61107635498047)"
"1041","[0.4077284038066864\， 0.47857099771499634\， 0.10390838235616684\， 0.1298854798078537]","1.0","[0.0\， 0.0\， 0.0]","faces/f1041-3.json","N/A","(-456.403926612471\， 456.37550146284906)","(-12.738544464111328\， -6.004642486572266)"
"1042","[0.274907648563385\， 0.4795558750629425\， 0.14892953634262085\， 0.18616192042827606]","1.0","[0.0\， 0.7853981852531433\， 0.0]","faces/f1042-0.json","Nurse Yuan","(-559.5433249487614\， 323.0148889687594)","(73.99263000488281\， 1.9052200317382812)"
"1042","[0.09480226039886475\， 0.5580766201019287\， 0.10740327090024948\， 0.1342540830373764]","1.0","[0.0\， 0.7853981852531433\， 0.0]","faces/f1042-1.json","Nurse Yuan","(-559.5883512958026\， 323.03451915501915)","(72.37155151367188\， 1.1405763626098633)"
