Film,Slope (β),p-value
Vikings,0.8330002681213466,6.668596896478905e-15
Gilda,-1.381042354714746,2.50878090504135e-09
Black River,1.0705140023473814,2.47665905491405e-08
Oklahoma,-0.7400663242160953,3.2579277093397877e-05
Cliff,-0.7049703573717911,3.913714496599573e-05
The Man from Laramie,-0.5657353585502936,0.00020816720331237926
Waves of Life,1.246801325010428,0.000366689424643776
Chikamatsu Story,0.6610130897686967,0.0009142161871043299
Human Desire,0.36325412927345213,0.004357209936851979
Diary of Nurse,0.19706387756464927,0.1357401655003477
Kurutta Kajitsu,0.128619901979112,0.24879958372379374
Our Village,0.11456379674348918,0.32085106488316784
Duel in the Sun,-0.11240046753654998,0.3682961454039113
Jigoku Mon,0.09773730085590329,0.44696002389329403
Notorious,0.052668839606017204,0.5342713806876858
Sabrina,0.033079747469950696,0.8347784665778676
